Stock,Accumulation/Distribution Value,Stocks_Ranked
MGM,58.96,1.0
MRK,55.19,2.0
CF,46.02,3.0
FE,22.5,4.0
SLB,21.58,5.0
KHC,20.91,6.0
KO,20.46,7.0
VZ,20.34,8.0
NEM,19.02,9.0
XOM,16.36,10.0
CTRA,16.33,11.0
ATVI,15.7,12.0
MOS,14.96,13.0
QCOM,14.65,14.0
SYF,14.41,15.0
CRM,13.28,16.0
CCL,12.27,17.5
C,12.27,17.5
EBAY,11.44,19.0
HAL,10.72,20.0
GE,9.5,21.0
JPM,7.94,22.0
MDLZ,7.65,23.0
BA,6.94,24.0
DOW,6.77,25.0
JNPR,6.66,26.0
ORCL,6.61,27.0
KEY,6.41,28.0
GM,6.38,29.0
PENN,5.79,30.0
CL,5.25,31.0
BK,4.96,32.0
WMB,4.83,33.0
EXC,4.5,34.0
UAA,4.19,35.0
WFC,3.84,36.0
UAL,3.75,37.0
APA,3.66,38.0
AAL,3.56,39.0
WY,3.5,40.0
FB,3.11,41.0
PARA,3.02,42.0
AES,2.97,43.0
RTX,2.87,44.0
CMCSA,2.49,45.0
AXP,2.41,46.5
WBA,2.41,46.5
NLSN,2.35,48.0
NLOK,2.33,49.0
PPL,2.19,50.0
NFLX,1.91,51.0
MRNA,1.87,52.0
DAL,1.63,53.0
TWTR,1.47,54.0
CAG,1.09,55.0
MO,1.03,56.0
TFC,0.78,57.0
FITB,0.71,58.0
BAC,0.62,59.0
USB,0.55,60.0
PYPL,0.52,61.0
RF,0.5,62.0
MRO,0.38,63.0
BSX,0.35,64.0
CAH,0.31,65.0
OXY,-0.26,66.0
NUE,-0.27,67.0
HPQ,-0.37,68.0
D,-0.44,69.0
VTRS,-0.45,70.0
SBUX,-0.86,71.0
MET,-0.94,72.0
NVDA,-1.08,73.0
HPE,-1.22,74.0
DG,-1.27,75.0
ABBV,-1.4,76.0
F,-1.51,77.0
BKR,-1.62,78.0
PG,-1.69,79.0
MPC,-1.76,80.0
NEE,-1.83,81.0
CVS,-1.94,82.0
COP,-2.21,83.0
DVN,-2.23,84.0
MS,-2.65,85.0
AMAT,-2.68,86.0
SO,-2.75,87.0
AAPL,-2.88,88.0
CFG,-2.94,89.0
HST,-3.04,90.0
ACN,-3.1,91.0
VLO,-3.14,92.0
MDT,-3.39,93.0
FOXA,-3.83,94.0
HBAN,-3.89,95.0
FCX,-3.99,96.0
BMY,-4.09,97.0
LUV,-4.37,98.0
WMT,-5.05,99.0
TJX,-5.32,100.0
CSX,-5.45,101.0
JNJ,-5.46,102.0
PFE,-5.65,103.0
DIS,-5.89,104.0
V,-6.45,105.0
T,-6.67,106.0
CSCO,-7.3,107.0
MU,-7.78,108.0
CVX,-7.87,109.0
PSX,-8.39,110.0
NCLH,-8.89,111.0
NKE,-9.17,112.0
KMI,-10.03,113.0
DISCA,-10.27,114.0
MSFT,-11.15,115.0
CNP,-11.74,116.0
AMD,-13.29,117.0
GILD,-13.41,118.0
LUMN,-13.71,119.0
KR,-14.25,120.0
INTC,-14.32,121.0
AIG,-14.61,122.0
TXN,-21.65,123.0
EOG,-24.3,124.0
AMZN,-29.55,125.0
LVS,-29.63,126.0
SCHW,-30.58,127.0
TSLA,-42.56,128.0
AMCR,-77.75,129.0
