Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,19.56,19.76,19.05,19.63,19.63,33220600
2021-11-23,19.75,20.14,19.32,19.47,19.47,30427300
2021-11-24,19.33,19.55,19.07,19.46,19.46,21323300
2021-11-26,18.27,18.27,16.9,17.75,17.75,84177500
2021-11-29,18.15,18.26,17.42,17.74,17.74,42940300
2021-11-30,17.44,17.74,16.92,17.69,17.69,49870100
2021-12-01,17.94,18.24,16.26,16.28,16.28,82030100
2021-12-02,16.49,17.44,16.15,17.42,17.42,58808900
2021-12-03,17.27,17.29,16.34,16.62,16.62,57791200
2021-12-06,16.95,18.54,16.91,17.93,17.93,74005500
2021-12-07,18.32,18.71,17.72,17.89,17.89,50249900
2021-12-08,17.96,18.87,17.88,18.23,18.23,46340600
2021-12-09,18.04,18.29,17.85,18.14,18.14,36027700
2021-12-10,18.07,18.13,17.63,18.01,18.01,28615100
2021-12-13,17.55,17.65,16.85,17.12,17.12,40783900
2021-12-14,16.82,17.47,16.81,16.91,16.91,30171300
2021-12-15,16.95,17.09,16.27,16.99,16.99,39939400
2021-12-16,17.25,17.39,16.43,16.52,16.52,31751200
2021-12-17,16.66,17.3,16.4,16.95,16.95,41330600
2021-12-20,16.5,17.78,16.45,17.3,17.3,44479100
2021-12-21,17.45,18.46,17.4,18.12,18.12,47592000
2021-12-22,18.18,18.5,17.91,18.26,18.26,26136697
