Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,151.58,152.43,150.64,150.96,150.74,60394600
2021-11-05,151.89,152.2,150.06,151.28,151.28,65414600
2021-11-08,151.41,151.57,150.16,150.44,150.44,55020900
2021-11-09,150.2,151.43,150.06,150.81,150.81,56787900
2021-11-10,150.02,150.13,147.85,147.92,147.92,65187100
2021-11-11,148.96,149.43,147.68,147.87,147.87,41000000
2021-11-12,148.43,150.4,147.48,149.99,149.99,63632600
2021-11-15,150.37,151.88,149.43,150.0,150.0,59222800
2021-11-16,149.94,151.49,149.34,151.0,151.0,59256200
2021-11-17,151.0,155.0,150.99,153.49,153.49,88807000
2021-11-18,153.71,158.67,153.05,157.87,157.87,137827700
2021-11-19,157.65,161.02,156.53,160.55,160.55,117305600
2021-11-22,161.68,165.7,161.0,161.02,161.02,117467900
2021-11-23,161.12,161.8,159.06,161.41,161.41,96041900
2021-11-24,160.75,162.14,159.64,161.94,161.94,69463600
2021-11-26,159.57,160.45,156.36,156.81,156.81,76959800
2021-11-29,159.37,161.19,158.79,160.24,160.24,88748200
2021-11-30,159.99,165.52,159.92,165.3,165.3,174048100
2021-12-01,167.48,170.3,164.53,164.77,164.77,152052500
2021-12-02,158.74,164.2,157.8,163.76,163.76,136739200
2021-12-03,164.02,164.96,159.72,161.84,161.84,117938300
