Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,117.57,117.72,116.33,117.06,117.06,4912200
2021-11-05,116.73,117.32,115.5,117.18,117.18,4634200
2021-11-08,117.2,117.45,115.78,116.06,116.06,7015000
2021-11-09,116.24,116.59,115.41,115.61,115.61,3146800
2021-11-10,115.4,117.1,115.39,116.75,116.75,4981100
2021-11-11,116.94,117.49,116.29,116.63,116.63,3120900
2021-11-12,117.4,117.4,116.43,116.97,116.97,2740300
2021-11-15,116.95,117.8,116.22,116.84,116.84,3941000
2021-11-16,116.61,117.47,116.34,116.42,116.42,3476400
2021-11-17,116.6,117.62,116.25,117.35,117.35,4361500
2021-11-18,117.41,118.37,116.64,117.07,117.07,3160300
2021-11-19,117.63,117.8,115.86,116.24,116.24,5885800
2021-11-22,115.95,117.34,115.01,115.65,115.65,3975800
2021-11-23,116.56,119.33,116.15,118.88,118.88,8948300
2021-11-24,118.68,119.24,118.08,118.66,118.66,5792800
2021-11-26,117.61,118.11,115.83,116.51,116.51,5016700
2021-11-29,116.83,117.92,116.58,116.89,116.89,4372500
2021-11-30,116.68,116.79,115.1,115.28,115.28,8172100
2021-12-01,115.78,118.98,115.61,115.91,115.91,6287500
2021-12-02,116.25,117.6,115.6,116.87,116.87,4919800
2021-12-03,117.74,119.0,117.0,118.85,118.85,6426200
