Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,128.95,129.49,128.19,129.09,129.09,4675900
2021-11-05,127.08,127.32,123.93,124.37,124.37,7989800
2021-11-08,124.0,127.23,123.81,126.8,126.8,4930000
2021-11-09,126.7,127.5,126.25,126.43,126.43,5130300
2021-11-10,126.19,128.11,126.05,127.82,127.82,5358900
2021-11-11,127.97,128.96,127.24,127.25,127.25,5054800
2021-11-12,127.94,128.85,127.12,128.45,128.45,6462200
2021-11-15,128.77,130.2,128.26,129.44,129.44,4565800
2021-11-16,129.64,131.6,129.64,130.89,130.89,4141300
2021-11-17,130.61,130.7,128.54,128.62,128.62,4759900
2021-11-18,129.31,129.43,127.47,127.64,127.64,4466100
2021-11-19,128.41,128.53,126.46,126.84,126.84,6867700
2021-11-22,126.78,126.8,124.68,125.26,125.26,4205400
2021-11-23,124.51,124.89,123.22,124.48,124.48,4873700
2021-11-24,124.07,125.28,124.0,125.07,125.07,3729500
2021-11-26,127.81,129.75,125.44,125.88,125.88,4671400
2021-11-29,126.35,128.94,125.36,128.03,128.03,5648200
2021-11-30,128.2,128.79,125.34,125.77,125.77,7269900
2021-12-01,126.48,128.48,125.12,126.74,126.74,4816700
2021-12-02,126.29,129.85,126.29,128.38,128.38,5090800
2021-12-03,128.88,130.46,128.03,130.27,130.27,5254500
