Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,419.4,429.69,418.73,425.47,425.47,2594700
2022-04-19,422.02,437.49,420.64,436.4,436.4,1962700
2022-04-20,440.59,442.44,427.2,428.11,428.11,2094400
2022-04-21,432.69,438.94,416.36,417.48,417.48,2390100
2022-04-22,420.71,424.33,408.02,408.67,408.67,3198800
2022-04-25,405.7,414.08,401.67,413.95,413.95,3368800
2022-04-26,410.17,411.61,397.47,399.12,399.12,2820100
2022-04-27,401.44,412.46,396.81,397.9,397.9,3080700
2022-04-28,406.13,414.27,398.49,410.53,410.53,2593900
2022-04-29,407.47,413.0,394.64,395.95,395.95,3031900
2022-05-02,397.13,407.98,394.04,407.29,407.29,3010000
2022-05-03,406.59,413.93,403.5,407.58,407.58,2196100
2022-05-04,407.29,424.23,395.05,423.35,423.35,3330400
2022-05-05,415.55,417.99,395.71,400.51,400.51,3507700
2022-05-06,395.0,401.26,382.82,391.01,391.01,3522200
2022-05-09,381.95,389.63,374.86,376.91,376.91,4324900
2022-05-10,385.72,400.83,374.78,393.03,393.03,5334400
2022-05-11,389.99,409.99,377.81,379.33,379.33,3822000
2022-05-12,373.4,390.13,370.27,388.49,388.49,4048200
2022-05-13,396.47,408.97,393.94,405.45,405.45,3379300
2022-05-16,399.74,407.17,396.84,402.86,402.86,2643662
