Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,95.76,97.7,95.31,96.46,96.46,3077900
2022-04-19,95.55,96.05,94.01,95.93,95.93,3848700
2022-04-20,96.06,98.44,95.65,98.22,98.22,3258600
2022-04-21,98.71,98.88,95.79,96.05,96.05,3600300
2022-04-22,95.96,96.12,92.02,92.18,92.18,4111600
2022-04-25,91.5,91.75,88.76,90.96,90.96,5029800
2022-04-26,94.61,95.97,89.96,90.64,90.64,7081100
2022-04-27,92.81,95.55,89.62,93.92,93.92,7217600
2022-04-28,94.67,94.73,91.16,92.51,92.51,5018200
2022-04-29,91.98,92.73,89.39,89.56,89.56,6340900
2022-05-02,90.21,90.45,88.0,89.31,89.31,3578500
2022-05-03,89.29,90.88,88.84,89.76,89.76,3859500
2022-05-04,90.24,91.3,88.92,91.15,91.15,3413600
2022-05-05,91.15,91.71,88.31,89.41,89.41,2934800
2022-05-06,88.91,90.14,88.37,89.73,89.73,2597500
2022-05-09,88.52,88.55,83.99,84.36,84.36,4329000
2022-05-10,85.31,88.09,84.09,84.97,84.97,4026600
2022-05-11,85.13,86.51,84.11,84.36,84.36,3592300
2022-05-12,84.2,84.57,82.56,84.44,84.44,3508300
2022-05-13,85.38,85.99,84.42,85.39,85.39,2895600
2022-05-16,85.84,87.49,85.84,87.18,87.18,3816850
