Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,308.86,319.72,308.38,318.97,318.97,956800
2021-11-05,320.0,325.64,319.62,324.52,324.52,1306700
2021-11-08,327.15,330.25,325.02,329.07,329.07,911400
2021-11-09,328.42,334.51,327.9,329.4,329.4,1110400
2021-11-10,328.87,330.3,319.29,320.53,320.53,1148600
2021-11-11,323.08,327.79,322.03,325.21,325.21,720400
2021-11-12,327.25,331.62,326.27,329.32,329.32,709700
2021-11-15,330.74,332.46,325.09,326.39,326.39,865500
2021-11-16,326.0,334.2,325.24,333.64,333.64,1161700
2021-11-17,334.8,335.48,328.54,330.55,330.55,1401000
2021-11-18,330.96,331.77,320.98,322.18,322.18,1194900
2021-11-19,325.58,327.14,321.64,322.52,322.52,1355400
2021-11-22,324.14,325.21,310.45,310.48,310.48,1379800
2021-11-23,308.98,310.7,297.73,304.0,304.0,2303400
2021-11-24,262.88,268.35,245.05,256.9,256.9,10904600
2021-11-26,258.18,260.0,252.62,254.17,254.17,2180900
2021-11-29,257.21,266.43,254.02,261.15,261.15,3192400
2021-11-30,261.74,263.0,252.49,254.19,254.19,3072700
2021-12-01,260.86,265.32,249.41,249.68,249.68,2318400
2021-12-02,252.74,258.54,250.81,257.66,257.66,2473700
2021-12-03,259.61,263.49,253.05,259.02,259.02,2411400
