Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,84.93,85.2,82.8,83.89,83.11,2690200
2021-11-05,84.35,85.57,84.2,85.04,84.25,1900900
2021-11-08,85.16,85.19,83.55,83.9,83.12,4155000
2021-11-09,83.39,83.94,82.96,83.04,83.04,3267300
2021-11-10,83.55,84.32,83.48,84.18,84.18,4234900
2021-11-11,84.18,84.18,82.12,82.61,82.61,2882700
2021-11-12,82.44,82.58,81.9,82.02,82.02,2053900
2021-11-15,82.25,82.9,81.81,82.88,82.88,2099100
2021-11-16,82.9,83.18,82.4,82.56,82.56,1881200
2021-11-17,82.41,83.31,82.12,83.24,83.24,2146900
2021-11-18,83.23,83.36,82.49,82.82,82.82,2123000
2021-11-19,83.02,83.68,82.63,83.38,83.38,2477700
2021-11-22,83.31,85.06,82.96,84.3,84.3,3014900
2021-11-23,84.45,84.87,83.59,84.31,84.31,2166000
2021-11-24,84.76,84.76,83.7,83.82,83.82,2539200
2021-11-26,83.52,83.95,82.29,82.55,82.55,1636800
2021-11-29,82.71,83.76,82.19,83.31,83.31,2899200
2021-11-30,83.21,83.21,80.68,81.05,81.05,4122300
2021-12-01,81.57,82.53,80.22,80.28,80.28,3494100
2021-12-02,80.86,82.2,80.49,81.31,81.31,3442200
2021-12-03,81.99,82.57,81.03,82.34,82.34,2809100
