Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,23.36,23.93,23.33,23.45,23.45,3741900
2021-09-28,23.52,23.73,23.03,23.06,23.06,5135500
2021-09-29,23.13,23.16,22.83,22.94,22.94,3551000
2021-09-30,22.99,23.03,22.6,22.83,22.83,5642000
2021-10-01,23.04,23.21,22.71,22.9,22.9,4779600
2021-10-04,22.81,23.01,22.67,22.84,22.84,4485700
2021-10-05,22.93,23.44,22.7,23.38,23.38,5162200
2021-10-06,23.16,23.44,22.83,23.42,23.42,4515300
2021-10-07,23.51,24.34,23.43,24.09,24.09,10589200
2021-10-08,24.05,24.46,23.92,24.07,24.07,9921100
2021-10-11,24.02,24.19,23.84,24.0,24.0,7662500
2021-10-12,24.02,24.2,23.9,24.02,24.02,6733400
2021-10-13,24.09,24.22,23.82,23.95,23.95,5890200
2021-10-14,24.13,24.31,23.92,24.28,24.28,3200600
2021-10-15,24.49,24.66,24.31,24.41,24.41,3537800
2021-10-18,24.09,24.23,23.8,23.85,23.85,3269100
2021-10-19,24.04,24.29,23.92,24.15,24.15,3291600
2021-10-20,24.18,25.09,24.18,25.03,25.03,6982600
2021-10-21,24.92,25.04,24.54,24.79,24.79,4068600
2021-10-22,24.94,25.13,24.8,24.93,24.93,3740200
2021-10-25,24.88,25.26,24.84,25.17,25.17,3834200
2021-10-26,25.35,25.69,25.17,25.47,25.47,3715604
