Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,63.05,63.33,61.49,61.59,61.59,2649600.0
2022-02-24,59.92,59.99,58.5,59.62,59.62,4712800.0
2022-02-25,60.19,62.13,59.77,61.95,61.95,3774400.0
2022-02-28,60.29,61.52,59.75,61.09,61.09,3516500.0
2022-03-01,60.53,60.81,58.26,58.48,58.48,3746800.0
2022-03-02,59.08,60.46,58.6,60.14,60.14,2957000.0
2022-03-03,60.38,61.29,60.2,61.16,61.16,3214400.0
2022-03-04,59.93,60.6,59.48,60.1,60.1,2803700.0
2022-03-07,59.37,59.69,58.9,59.03,59.03,3528500.0
2022-03-08,59.68,61.01,59.13,59.23,59.23,3079300.0
2022-03-09,60.75,61.24,60.18,60.39,60.39,2940400.0
2022-03-10,59.73,60.11,59.25,59.96,59.96,2485100.0
2022-03-11,60.38,60.81,59.9,59.96,59.96,2228600.0
2022-03-14,60.74,61.44,60.21,60.84,60.84,2212300.0
2022-03-15,61.15,61.53,60.55,61.26,61.26,2168100.0
2022-03-16,61.97,62.64,61.3,62.62,62.62,3006600.0
2022-03-17,62.03,62.9,61.7,62.9,62.9,2120200.0
2022-03-18,62.74,63.09,61.91,62.95,62.95,6150500.0
2022-03-21,63.41,63.72,62.99,63.4,63.4,2013600.0
2022-03-22,64.0,64.81,63.88,64.46,64.46,2451955.0
