Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,63.14,64.29,62.47,62.58,62.58,3398200
2022-04-12,62.83,63.62,62.16,62.45,62.45,3518300
2022-04-13,62.21,63.05,61.8,62.98,62.98,3386400
2022-04-14,62.92,63.92,62.8,63.03,63.03,4399900
2022-04-18,62.71,64.11,62.71,63.9,63.9,2088700
2022-04-19,64.14,64.63,63.19,63.61,63.61,5089100
2022-04-20,63.95,65.16,63.94,64.41,64.41,3432500
2022-04-21,65.05,65.73,63.04,63.13,63.13,4244300
2022-04-22,63.0,63.0,60.34,60.44,60.44,4865200
2022-04-25,60.01,60.01,57.9,59.68,59.68,6587500
2022-04-26,58.84,59.63,57.62,57.66,57.66,4261100
2022-04-27,57.87,59.49,57.46,59.12,59.12,4989600
2022-04-28,59.77,60.45,58.49,60.04,60.04,4623700
2022-04-29,59.74,60.13,58.33,58.51,58.51,5789500
2022-05-02,58.97,59.45,57.67,59.06,59.06,4276900
2022-05-03,59.56,60.29,58.33,59.53,59.53,8013100
2022-05-04,60.08,64.05,59.8,63.94,63.94,7814600
2022-05-05,62.93,63.72,61.44,62.12,62.12,6021000
2022-05-06,62.11,62.52,61.19,62.23,62.23,5885500
2022-05-09,61.61,62.32,59.98,60.6,60.6,2842634
