Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,121.0,121.94,115.18,117.1,116.28,4434500
2021-11-05,117.75,118.8,114.65,117.16,116.34,2580200
2021-11-08,118.0,118.49,116.38,117.06,116.24,1610500
2021-11-09,116.31,117.82,115.07,115.19,114.38,1558000
2021-11-10,114.08,115.62,113.91,114.11,113.31,2113700
2021-11-11,114.12,115.09,112.77,114.66,113.85,1534500
2021-11-12,114.64,115.95,114.38,114.71,113.9,2372900
2021-11-15,115.15,115.44,114.43,114.8,113.99,1774100
2021-11-16,115.23,116.66,114.7,115.35,114.54,3627700
2021-11-17,115.07,115.27,113.16,113.23,112.43,2592700
2021-11-18,113.38,113.76,111.49,113.06,112.26,2445300
2021-11-19,112.78,113.61,111.86,111.94,111.15,2084100
2021-11-22,112.25,114.18,111.51,113.55,112.75,2216400
2021-11-23,112.32,115.82,112.13,114.9,114.09,3013000
2021-11-24,115.15,115.89,114.4,114.7,113.89,2676600
2021-11-26,111.92,115.48,111.3,115.12,114.31,1929900
2021-11-29,114.48,114.67,112.42,113.14,113.14,2656200
2021-11-30,112.1,112.3,108.2,108.72,108.72,8377100
2021-12-01,109.61,111.12,107.12,107.13,107.13,2690200
2021-12-02,108.24,110.65,107.56,109.68,109.68,2201400
2021-12-03,109.77,110.81,107.73,108.32,108.32,2814700
