Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,118.2,119.05,116.14,116.24,116.24,7785100
2022-04-12,118.1,119.26,114.17,114.56,114.56,9883800
2022-04-13,115.24,118.12,114.49,116.86,116.86,9351400
2022-04-14,117.41,117.53,113.25,113.36,113.36,7711200
2022-04-18,112.5,115.98,112.34,114.87,114.87,6822700
2022-04-19,114.13,117.24,113.54,117.06,117.06,6086600
2022-04-20,120.52,122.37,117.52,117.89,117.89,8856100
2022-04-21,119.21,121.08,115.34,115.69,115.69,7849400
2022-04-22,115.23,116.19,112.63,112.8,112.8,8489400
2022-04-25,111.41,114.72,111.2,114.47,114.47,8518300
2022-04-26,112.84,113.2,108.83,108.92,108.92,9461800
2022-04-27,108.37,112.37,107.9,108.81,108.81,6891600
2022-04-28,111.41,115.99,109.59,114.63,114.63,7379100
2022-04-29,113.03,116.16,110.16,110.35,110.35,7998500
2022-05-02,111.1,113.2,108.18,112.97,112.97,9425100
2022-05-03,112.18,114.73,111.43,113.8,113.8,5463700
2022-05-04,114.17,119.12,112.04,118.81,118.81,6352100
2022-05-05,116.07,116.9,111.85,113.47,113.47,8172500
2022-05-06,111.88,115.05,109.89,112.5,112.5,6246500
2022-05-09,107.94,110.79,105.88,107.26,107.26,4021502
