Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,11.93,12.03,11.92,11.96,11.84,5703600
2021-11-23,11.85,11.94,11.72,11.77,11.77,6208900
2021-11-24,11.7,11.73,11.64,11.66,11.66,4158300
2021-11-26,11.38,11.63,11.38,11.54,11.54,5979100
2021-11-29,11.69,11.71,11.57,11.58,11.58,7863400
2021-11-30,11.53,11.56,11.3,11.32,11.32,11076600
2021-12-01,11.53,11.68,11.25,11.26,11.26,10479000
2021-12-02,11.31,11.58,11.31,11.48,11.48,7256300
2021-12-03,11.39,11.57,11.25,11.31,11.31,9020200
2021-12-06,11.48,11.65,11.45,11.57,11.57,6845300
2021-12-07,11.64,11.7,11.57,11.59,11.59,6184600
2021-12-08,11.61,11.69,11.52,11.62,11.62,8135600
2021-12-09,11.57,11.63,11.48,11.56,11.56,12195800
2021-12-10,11.63,11.67,11.53,11.6,11.6,3790700
2021-12-13,11.56,11.71,11.55,11.67,11.67,7286900
2021-12-14,11.71,11.86,11.65,11.67,11.67,6739200
2021-12-15,11.99,12.02,11.74,11.95,11.95,5963400
2021-12-16,12.01,12.12,11.99,12.04,12.04,6090000
2021-12-17,12.07,12.09,11.77,11.79,11.79,12987500
2021-12-20,11.63,11.7,11.43,11.6,11.6,6232400
2021-12-21,11.71,11.82,11.65,11.74,11.74,5832000
2021-12-22,11.67,11.78,11.59,11.62,11.62,2876228
