Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,157.14,161.88,152.39,152.52,152.52,58674100
2021-11-23,150.41,152.66,145.3,149.92,149.92,62852700
2021-11-24,149.46,157.93,147.19,157.8,157.8,60677100
2021-11-26,155.8,158.1,152.81,154.81,154.81,36245100
2021-11-29,157.5,162.51,156.1,161.91,161.91,57438900
2021-11-30,163.28,164.46,155.68,158.37,158.37,75182500
2021-12-01,160.37,160.88,148.92,149.11,149.11,64039100
2021-12-02,147.68,152.53,146.47,150.68,150.68,56161200
2021-12-03,151.65,152.38,140.72,144.01,144.01,65856800
2021-12-06,141.14,141.31,134.2,139.06,139.06,66776500
2021-12-07,143.9,145.76,141.0,144.85,144.85,53359400
2021-12-08,144.96,147.04,142.7,145.24,145.24,40977500
2021-12-09,145.16,146.69,137.8,138.1,138.1,53019900
2021-12-10,141.29,141.37,135.82,138.55,138.55,42187900
2021-12-13,138.25,139.4,133.42,133.8,133.8,42174000
2021-12-14,131.67,137.24,130.6,135.6,135.6,50754600
2021-12-15,135.11,146.69,133.81,146.5,146.5,72425800
2021-12-16,147.0,147.93,137.02,138.64,138.64,63369600
2021-12-17,136.3,142.04,136.11,137.75,137.75,55642100
2021-12-20,135.97,138.26,133.52,135.8,135.8,38195400
2021-12-21,138.19,144.5,135.15,144.25,144.25,57785200
2021-12-22,142.65,144.5,140.27,143.22,143.22,41869825
