Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,218.3,218.45,211.72,214.93,213.14,2781300
2021-11-05,215.61,217.42,212.73,213.77,211.99,2299400
2021-11-08,214.06,214.44,210.93,211.37,209.61,2532900
2021-11-09,211.02,213.7,210.47,211.71,209.95,2296300
2021-11-10,213.28,215.5,212.53,213.21,211.43,2360400
2021-11-11,214.08,214.08,210.56,211.56,209.8,2615700
2021-11-12,212.3,212.88,210.38,211.39,209.63,4614100
2021-11-15,210.69,210.89,207.08,207.4,207.4,3129200
2021-11-16,208.03,209.04,205.27,205.39,205.39,2942500
2021-11-17,205.21,207.35,203.6,205.82,205.82,3329300
2021-11-18,205.63,206.23,203.73,204.02,204.02,4261500
2021-11-19,205.27,206.2,203.67,206.08,206.08,3217100
2021-11-22,205.45,206.3,200.75,202.73,202.73,2835100
2021-11-23,202.23,205.48,201.27,204.53,204.53,2149300
2021-11-24,204.3,205.28,202.95,203.97,203.97,1699800
2021-11-26,204.74,206.0,200.52,201.09,201.09,3197900
2021-11-29,202.48,204.83,201.59,203.47,203.47,2519900
2021-11-30,202.73,203.87,198.73,198.88,198.88,5400100
2021-12-01,200.44,205.64,198.64,200.8,200.8,3057700
2021-12-02,200.73,203.1,199.31,201.17,201.17,2858200
2021-12-03,201.38,203.8,200.84,202.44,202.44,3589700
