Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,3033.01,3035.26,2893.02,2896.54,2896.54,3212200.0
2022-02-24,2796.75,3034.98,2790.0,3027.16,3027.16,5039300.0
2022-02-25,3011.0,3079.8,2984.27,3075.77,3075.77,3119800.0
2022-02-28,3048.5,3089.0,3017.0,3071.26,3071.26,2878500.0
2022-03-01,3054.65,3081.98,2999.54,3022.84,3022.84,2243700.0
2022-03-02,3016.98,3059.99,2975.0,3041.05,3041.05,2366700.0
2022-03-03,3070.63,3078.58,2937.12,2957.97,2957.97,3259900.0
2022-03-04,2943.18,2957.0,2876.14,2912.82,2912.82,3046700.0
2022-03-07,2908.87,2921.89,2748.33,2749.06,2749.06,4346700.0
2022-03-08,2733.67,2813.99,2671.45,2720.29,2720.29,4583100.0
2022-03-09,2790.0,2805.0,2736.56,2785.58,2785.58,4132800.0
2022-03-10,2913.7,2973.49,2879.56,2936.35,2936.35,6753100.0
2022-03-11,2991.49,2993.5,2907.38,2910.49,2910.49,3440500.0
2022-03-14,2919.62,2949.0,2817.68,2837.06,2837.06,3704300.0
2022-03-15,2857.0,2959.7,2840.0,2947.33,2947.33,3779200.0
2022-03-16,2970.0,3063.0,2947.07,3062.08,3062.08,4247900.0
2022-03-17,3052.81,3149.97,3042.8,3144.78,3144.78,3646700.0
2022-03-18,3136.26,3231.88,3120.22,3225.01,3225.01,5141300.0
2022-03-21,3222.42,3261.68,3191.06,3229.83,3229.83,3326900.0
2022-03-22,3236.11,3322.81,3233.98,3297.78,3297.78,3088291.0
