Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,20.5,20.53,19.22,19.35,19.35,6397500
2021-09-15,19.83,20.63,19.83,20.62,20.62,7943700
2021-09-16,20.63,20.7,20.23,20.49,20.49,5479300
2021-09-17,20.35,20.73,19.99,20.14,20.14,6917600
2021-09-20,19.38,19.4,18.52,18.91,18.91,6853600
2021-09-21,19.27,19.35,18.55,18.77,18.77,6147400
2021-09-22,19.16,20.51,19.16,20.12,20.12,16377700
2021-09-23,20.17,21.68,19.94,21.54,21.54,14040800
2021-09-24,21.37,22.17,21.15,21.91,21.91,9071100
2021-09-27,22.71,23.35,22.66,23.26,23.26,17101300
2021-09-28,23.58,23.78,21.61,21.69,21.69,18722200
2021-09-29,21.33,21.62,20.79,21.27,21.27,10904300
2021-09-30,20.76,21.74,20.53,21.43,21.43,11250900
2021-10-01,21.75,22.22,21.34,21.8,21.8,10977100
2021-10-04,22.33,22.67,21.86,22.06,22.06,13521800
2021-10-05,22.58,23.13,21.92,22.21,22.21,13250900
2021-10-06,21.57,22.3,21.45,22.1,22.1,9744800
2021-10-07,22.3,23.14,21.97,22.8,22.8,16379600
2021-10-08,23.25,24.48,23.17,24.36,24.36,19283600
2021-10-11,25.1,25.33,24.33,24.42,24.42,13742200
2021-10-12,24.38,25.1,24.15,24.74,24.74,10049400
2021-10-13,24.25,24.98,23.8,24.61,24.61,9068100
2021-10-14,25.33,26.07,25.04,25.86,25.86,6389312
