Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,78.72,79.13,78.15,79.12,79.12,1483600
2021-11-05,80.0,81.53,79.77,81.44,81.44,2243600
2021-11-08,82.0,82.34,81.24,81.65,81.65,2215200
2021-11-09,81.76,82.32,81.4,82.29,82.29,1690500
2021-11-10,81.75,82.56,81.6,82.29,82.29,2006300
2021-11-11,82.44,83.18,81.92,82.82,82.82,1935500
2021-11-12,83.16,84.39,82.61,84.02,84.02,1743300
2021-11-15,84.05,85.0,83.57,84.96,84.96,2600600
2021-11-16,84.71,85.62,84.57,85.04,85.04,3205400
2021-11-17,84.93,85.25,84.44,84.9,84.9,1882200
2021-11-18,85.06,85.37,83.96,84.76,84.76,1464400
2021-11-19,84.9,85.78,84.55,85.14,85.14,1654000
2021-11-22,85.43,86.05,84.19,84.26,84.26,1800800
2021-11-23,84.48,84.86,83.75,84.8,84.8,1809900
2021-11-24,84.42,84.8,83.65,84.3,84.3,2013900
2021-11-26,82.58,82.86,81.08,81.62,81.62,2225600
2021-11-29,82.42,83.68,82.34,82.93,82.93,2213700
2021-11-30,81.57,82.67,80.37,80.58,80.58,3987200
2021-12-01,82.18,82.92,79.95,79.99,79.99,2891400
2021-12-02,80.1,82.07,80.02,81.46,81.46,1965600
2021-12-03,82.12,82.85,80.98,81.67,81.67,2886400
