Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,103.21,107.03,103.21,105.78,105.78,1427800
2022-04-19,106.37,110.83,106.37,110.47,110.47,1122000
2022-04-20,111.63,113.73,110.99,111.04,111.04,1419800
2022-04-21,114.51,115.24,109.05,109.46,109.46,1202100
2022-04-22,107.55,109.24,106.25,106.48,106.48,1289900
2022-04-25,106.13,107.94,104.01,107.63,107.63,1599000
2022-04-26,106.08,107.27,101.77,102.51,102.51,1621400
2022-04-27,102.96,105.77,102.34,103.71,103.71,1274500
2022-04-28,106.01,108.5,103.07,107.84,107.84,1395400
2022-04-29,107.4,109.9,106.08,106.4,106.4,1417100
2022-05-02,106.12,108.84,103.99,108.69,108.69,1486000
2022-05-03,108.49,109.2,106.54,107.61,107.61,3006900
2022-05-04,107.29,110.64,105.56,110.42,110.42,2978300
2022-05-05,106.08,110.94,103.4,104.63,104.63,2492000
2022-05-06,104.47,104.7,98.96,101.84,101.84,2474500
2022-05-09,99.94,100.82,94.72,95.21,95.21,2133400
2022-05-10,97.98,98.18,92.17,95.9,95.9,2841600
2022-05-11,96.35,98.01,90.59,90.74,90.74,2837200
2022-05-12,89.53,93.61,88.15,91.49,91.49,2683000
2022-05-13,94.05,98.67,93.26,98.13,98.13,1536800
2022-05-16,96.09,96.54,92.31,95.12,95.12,2998726
