Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,80.0,80.25,79.42,79.48,79.01,4399400
2022-04-12,79.59,79.82,79.41,79.54,79.07,4738900
2022-04-13,79.33,79.38,78.79,79.1,79.1,5948300
2022-04-14,78.96,79.17,78.85,78.93,78.93,4571300
2022-04-18,78.8,79.12,78.72,79.06,79.06,6200600
2022-04-19,78.91,79.35,78.81,79.03,79.03,3455300
2022-04-20,79.12,79.31,78.86,78.91,78.91,3419200
2022-04-21,79.03,79.11,78.69,78.9,78.9,3623500
2022-04-22,78.85,79.01,78.53,78.61,78.61,3893100
2022-04-25,78.21,78.47,77.41,78.05,78.05,8668500
2022-04-26,77.82,78.06,77.02,77.06,77.06,10783600
2022-04-27,76.82,77.28,76.06,76.1,76.1,7318800
2022-04-28,76.45,77.36,76.18,76.7,76.7,8164800
2022-04-29,76.41,76.75,75.33,75.6,75.6,8847100
2022-05-02,77.17,78.22,76.94,78.06,78.06,14708200
2022-05-03,78.5,79.39,78.18,78.78,78.78,10984100
2022-05-04,79.08,79.5,78.66,79.24,79.24,8101500
2022-05-05,79.11,79.11,78.53,78.76,78.76,7754900
2022-05-06,78.7,78.86,77.48,77.84,77.84,10356100
2022-05-09,77.42,77.63,76.47,76.96,76.96,3628627
