Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,181.06,182.44,177.25,177.57,177.57,4816800
2022-04-12,176.57,179.25,174.71,175.54,175.54,4348900
2022-04-13,174.23,180.02,174.0,179.59,179.59,2980600
2022-04-14,179.27,182.47,178.68,181.16,181.16,2667100
2022-04-18,181.33,185.89,181.0,184.48,184.48,2182700
2022-04-19,185.01,188.09,184.71,187.17,187.17,2713800
2022-04-20,188.33,190.15,187.64,188.46,188.46,2256200
2022-04-21,190.94,192.42,184.58,185.74,185.74,3973200
2022-04-22,185.43,185.55,180.32,180.54,180.54,4373700
2022-04-25,179.98,184.26,177.99,184.1,184.1,4408900
2022-04-26,183.25,183.91,178.54,178.65,178.65,3728100
2022-04-27,177.66,179.41,175.5,177.63,177.63,4085800
2022-04-28,180.35,183.89,177.61,181.98,181.98,2703200
2022-04-29,180.09,182.31,174.33,174.71,174.71,3210100
2022-05-02,174.65,174.88,167.51,171.62,171.62,3881800
2022-05-03,173.0,174.0,170.33,172.11,172.11,3152300
2022-05-04,172.22,178.17,171.2,177.82,177.82,2930400
2022-05-05,176.64,176.76,169.33,171.01,171.01,2987100
2022-05-06,169.17,169.99,165.01,167.15,167.15,3129800
2022-05-09,165.03,166.02,161.0,162.86,162.86,2719020
