Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,181.45,182.46,178.55,179.85,179.85,5042600
2022-04-19,180.36,187.61,180.28,185.98,185.98,7485600
2022-04-20,187.24,187.34,182.86,183.55,183.55,6824300
2022-04-21,188.73,189.85,180.55,181.02,181.02,7446100
2022-04-22,180.78,182.67,176.5,176.92,176.92,6372400
2022-04-25,174.51,176.08,172.45,175.91,175.91,6293100
2022-04-26,174.76,174.87,166.85,167.04,167.04,9277300
2022-04-27,161.25,161.25,146.0,154.46,154.46,40371700
2022-04-28,156.61,156.79,149.0,154.22,154.22,13518800
2022-04-29,153.44,157.03,148.52,148.84,148.84,10880300
2022-05-02,148.02,149.45,143.38,148.61,148.61,12399200
2022-05-03,149.09,154.45,147.91,153.58,153.58,10149500
2022-05-04,152.91,157.14,150.77,156.97,156.97,9550600
2022-05-05,155.69,157.99,149.05,150.47,150.47,7950800
2022-05-06,149.96,150.9,145.85,148.9,148.9,7690000
2022-05-09,146.0,146.95,132.65,133.31,133.31,12593800
2022-05-10,136.76,137.84,130.33,132.95,132.95,11781400
2022-05-11,132.95,138.96,129.11,129.39,129.39,11388400
2022-05-12,126.89,128.53,120.28,123.14,123.14,15891300
2022-05-13,124.98,130.8,122.38,127.2,127.2,20853700
2022-05-16,127.05,131.12,122.35,124.05,124.05,10597600
