Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,41.13,41.31,39.66,39.84,39.84,53820400
2021-09-15,39.73,40.34,39.67,40.14,40.14,52358200
2021-09-16,40.48,40.81,40.2,40.45,40.45,42922000
2021-09-17,40.34,40.67,40.08,40.5,40.5,92746000
2021-09-20,39.38,39.46,38.36,39.11,39.11,67566200
2021-09-21,39.27,39.6,38.94,39.13,39.13,38271100
2021-09-22,39.75,40.52,39.75,40.14,40.14,46261400
2021-09-23,40.76,41.88,40.65,41.69,41.69,49779800
2021-09-24,41.72,42.34,41.65,42.14,42.14,39042300
2021-09-27,42.68,43.43,42.64,43.26,43.26,49755400
2021-09-28,43.43,44.04,43.06,43.16,43.16,60781200
2021-09-29,43.18,43.32,42.74,43.07,43.07,44260200
2021-09-30,43.35,43.35,42.23,42.45,42.45,47386400
2021-10-01,42.48,43.43,42.39,43.08,43.08,40987100
2021-10-04,43.11,44.07,43.07,43.34,43.34,48273400
2021-10-05,43.77,44.75,43.67,44.22,44.22,54070700
2021-10-06,43.85,44.29,43.55,44.24,44.24,47031700
2021-10-07,44.79,44.87,44.03,44.12,44.12,46258800
2021-10-08,44.07,44.81,43.92,44.34,44.34,39378800
2021-10-11,44.6,44.81,43.75,43.78,43.78,36283500
2021-10-12,43.67,44.0,43.27,43.54,43.54,36898300
2021-10-13,43.55,43.64,42.33,43.14,43.14,43867000
2021-10-14,44.37,44.77,43.48,44.57,44.57,48211422
