Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,76.25,76.37,74.6,74.97,74.97,1824000
2022-04-19,75.22,76.63,75.08,76.51,76.51,2523800
2022-04-20,76.49,78.73,75.88,78.56,78.56,2492200
2022-04-21,78.66,78.66,77.79,77.98,77.98,2224300
2022-04-22,77.4,77.4,72.89,73.08,73.08,4266500
2022-04-25,72.8,73.22,72.13,72.91,72.91,3140100
2022-04-26,72.24,72.65,70.5,70.53,70.53,2280900
2022-04-27,70.72,72.12,70.3,71.07,71.07,4639300
2022-04-28,71.16,74.65,69.88,70.8,70.8,8441000
2022-04-29,70.24,72.11,69.72,71.06,71.06,4019200
2022-05-02,71.33,72.43,69.72,70.61,70.61,3854700
2022-05-03,71.12,72.89,71.01,72.05,72.05,4496600
2022-05-04,71.95,73.63,71.65,73.2,73.2,3550800
2022-05-05,72.74,73.39,72.1,72.99,72.99,3029700
2022-05-06,72.51,73.19,71.79,72.79,72.79,3174400
2022-05-09,72.16,74.51,71.88,73.62,73.62,4362400
2022-05-10,73.86,74.22,72.22,72.46,72.46,3417400
2022-05-11,72.38,74.24,71.91,72.0,72.0,2543400
2022-05-12,72.12,72.81,71.27,72.65,72.65,2270600
2022-05-13,72.8,73.5,72.58,73.03,73.03,2069400
2022-05-16,73.06,73.78,72.56,73.69,73.69,2864046
