Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,76.6,76.77,74.8,75.19,75.19,4770300
2021-11-23,75.0,75.74,72.94,75.53,75.53,3308000
2021-11-24,74.37,75.02,73.37,74.81,74.81,3447700
2021-11-26,73.12,75.5,72.66,74.61,74.61,1867400
2021-11-29,75.84,76.48,74.45,75.87,75.87,2565800
2021-11-30,75.48,75.66,72.34,75.13,75.13,4999000
2021-12-01,76.6,77.91,71.59,71.6,71.6,3083400
2021-12-02,71.86,74.94,71.86,74.51,74.51,2972700
2021-12-03,74.5,75.45,71.46,72.96,72.96,1967100
2021-12-06,74.21,75.74,73.49,74.16,74.16,2013600
2021-12-07,74.76,77.47,74.7,75.95,75.95,2029300
2021-12-08,76.04,76.95,75.45,76.4,76.4,1474500
2021-12-09,75.74,77.11,74.93,75.03,75.03,1937800
2021-12-10,75.71,76.66,74.4,76.47,76.47,1501400
2021-12-13,76.15,76.17,71.85,72.79,72.79,1739700
2021-12-14,72.77,74.11,72.5,73.45,73.45,1891700
2021-12-15,73.25,73.42,70.38,72.92,72.92,2968300
2021-12-16,73.25,73.55,69.05,69.49,69.49,2771900
2021-12-17,68.82,70.96,68.07,69.85,69.85,3227700
2021-12-20,67.25,68.48,66.82,67.98,67.98,2672700
2021-12-21,68.83,69.55,68.1,68.39,68.39,4090400
2021-12-22,68.42,69.0,67.17,68.53,68.53,3436568
