Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,126.0,128.81,125.43,128.61,128.61,2952500
2021-11-05,129.95,130.55,128.35,129.07,129.07,2212200
2021-11-08,129.0,130.39,128.32,130.09,130.09,2595000
2021-11-09,129.67,133.27,129.62,132.94,132.94,2025500
2021-11-10,132.34,133.42,131.16,131.25,131.25,1924500
2021-11-11,131.37,133.55,131.32,132.9,132.9,1843300
2021-11-12,133.35,136.74,133.05,135.63,135.63,2313400
2021-11-15,136.74,136.78,131.81,132.36,132.36,2681700
2021-11-16,132.59,135.6,132.28,134.93,134.93,2232000
2021-11-17,134.33,135.26,132.25,132.86,132.86,1928500
2021-11-18,134.49,136.12,133.79,135.61,135.61,2357600
2021-11-19,136.18,137.57,135.0,136.13,136.13,1952800
2021-11-22,137.22,141.97,137.22,138.0,138.0,5417600
2021-11-23,116.0,121.44,115.0,121.01,121.01,15941000
2021-11-24,120.22,121.87,115.9,116.69,116.69,5990000
2021-11-26,114.6,116.22,113.88,114.77,114.77,2346000
2021-11-29,115.8,116.0,110.3,110.95,110.95,4595700
2021-11-30,110.01,111.65,106.27,106.86,106.86,5747900
2021-12-01,108.14,108.41,102.23,102.25,102.25,4548300
2021-12-02,104.24,105.82,102.63,103.92,103.92,4235800
2021-12-03,104.54,106.05,103.65,105.87,105.87,4044600
