Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,37.14,37.14,35.89,36.27,36.27,2804000
2021-11-05,36.71,36.78,35.58,35.88,35.88,3157700
2021-11-08,36.22,36.33,35.57,35.74,35.74,2361400
2021-11-09,35.61,36.07,35.48,35.72,35.72,2361500
2021-11-10,35.55,35.61,34.83,35.01,35.01,2431500
2021-11-11,35.18,35.61,34.99,35.48,35.48,1341500
2021-11-12,35.46,35.92,35.28,35.91,35.91,1800500
2021-11-15,36.02,36.2,35.63,35.74,35.74,1769100
2021-11-16,35.59,35.94,35.46,35.65,35.65,1587800
2021-11-17,35.4,35.53,34.85,35.0,35.0,1650800
2021-11-18,35.17,35.41,34.71,34.82,34.82,1504400
2021-11-19,34.51,34.79,34.26,34.68,34.68,2227400
2021-11-22,34.92,35.13,34.46,34.5,34.5,1712600
2021-11-23,34.68,34.77,34.11,34.69,34.69,1857200
2021-11-24,34.55,34.68,34.31,34.44,34.44,1296200
2021-11-26,33.21,33.5,32.56,33.14,33.14,1913100
2021-11-29,33.81,34.01,33.17,33.75,33.75,1945300
2021-11-30,33.36,33.5,32.33,32.4,32.4,3754800
2021-12-01,33.29,33.64,31.8,31.82,31.82,2421300
2021-12-02,32.06,33.01,31.85,32.64,32.64,1929600
2021-12-03,32.63,32.7,31.32,31.89,31.89,3090800
