Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,52.33,52.5,50.88,51.14,51.14,4407100
2021-09-15,51.2,52.18,51.05,52.07,52.07,5786800
2021-09-16,52.42,52.56,50.98,51.37,51.37,6188900
2021-09-17,51.18,51.49,50.47,51.15,51.15,11538200
2021-09-20,49.84,49.94,48.74,49.59,49.59,6154500
2021-09-21,49.82,49.99,49.13,49.3,49.3,4083100
2021-09-22,49.99,50.39,49.78,49.93,49.93,4190700
2021-09-23,50.58,52.0,50.47,51.5,51.5,4696300
2021-09-24,51.31,52.14,51.31,51.55,51.55,2724800
2021-09-27,52.04,53.79,51.96,53.4,53.4,4790800
2021-09-28,53.53,54.29,52.8,52.91,52.91,5439000
2021-09-29,52.81,52.98,52.36,52.63,52.63,2829100
2021-09-30,52.97,53.17,51.83,51.84,51.84,4400100
2021-10-01,51.84,53.37,51.83,52.92,52.92,4899700
2021-10-04,52.75,53.89,52.67,52.85,52.85,5220200
2021-10-05,53.19,54.74,53.05,54.42,54.42,4890800
2021-10-06,53.84,54.78,53.54,54.54,54.54,5223500
2021-10-07,55.14,55.42,54.4,54.53,54.53,5684800
2021-10-08,54.67,56.14,54.61,55.84,55.84,4712400
2021-10-11,55.89,56.65,55.48,55.52,55.52,4945300
2021-10-12,55.51,56.06,55.28,55.51,55.51,4697900
2021-10-13,55.5,55.64,54.45,55.29,55.29,5423300
2021-10-14,55.9,56.38,55.5,56.28,56.28,3050349
