Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,28.63,29.43,28.43,29.05,29.05,7211700.0
2022-02-24,29.45,29.51,27.9,28.72,28.72,11866300.0
2022-02-25,28.9,29.6,28.6,29.5,29.5,7092200.0
2022-02-28,29.25,29.68,28.92,29.38,29.38,11034200.0
2022-03-01,29.61,29.78,27.72,28.34,28.34,12167200.0
2022-03-02,29.04,30.65,29.03,30.39,30.39,11545600.0
2022-03-03,29.94,31.38,29.94,31.21,31.21,13542800.0
2022-03-04,30.85,33.28,30.77,33.22,33.22,14323100.0
2022-03-07,33.2,35.92,33.2,34.78,34.78,19497500.0
2022-03-08,35.26,36.92,34.17,34.8,34.8,22307600.0
2022-03-09,33.9,34.82,32.74,33.81,33.81,21479200.0
2022-03-10,33.94,36.9,33.93,36.74,36.74,13964300.0
2022-03-11,36.05,38.41,36.05,37.64,37.64,15354200.0
2022-03-14,36.67,37.48,36.28,36.98,36.98,12763500.0
2022-03-15,35.47,36.28,34.48,34.87,34.87,14491500.0
2022-03-16,34.71,34.97,32.58,33.65,33.65,20716500.0
2022-03-17,34.25,35.21,33.92,34.98,34.98,15890200.0
2022-03-18,34.68,35.55,34.62,35.29,35.29,24779700.0
2022-03-21,36.01,37.13,35.89,36.22,36.22,19941400.0
2022-03-22,36.16,36.96,35.9,36.54,36.54,16908549.0
