Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,91.78,93.15,90.0,91.48,91.29,2064000
2021-11-05,91.22,92.4,90.47,90.49,90.3,1659800
2021-11-08,91.23,91.57,89.86,91.02,90.83,1426800
2021-11-09,91.11,92.78,90.99,91.28,91.09,1259700
2021-11-10,90.74,91.86,90.74,91.25,91.06,1102600
2021-11-11,91.67,91.76,91.01,91.66,91.47,957400
2021-11-12,93.0,94.08,92.69,93.57,93.37,2680500
2021-11-15,93.62,95.98,93.61,95.88,95.68,1608500
2021-11-16,95.93,97.61,95.57,96.88,96.68,1353100
2021-11-17,96.9,96.93,94.75,95.06,94.86,1858300
2021-11-18,95.06,95.65,93.75,94.22,94.02,1560600
2021-11-19,94.41,96.88,94.41,95.7,95.5,3351600
2021-11-22,95.7,96.39,94.84,94.96,94.76,1078900
2021-11-23,94.65,95.26,93.92,94.11,93.91,1138100
2021-11-24,94.23,94.34,93.3,93.62,93.42,1112200
2021-11-26,92.85,96.44,92.39,94.7,94.5,2054200
2021-11-29,95.53,96.66,94.66,94.81,94.61,1732200
2021-11-30,93.83,95.08,92.95,93.45,93.45,3194100
2021-12-01,93.77,95.15,90.87,90.91,90.91,1945700
2021-12-02,91.19,93.85,90.81,93.58,93.58,1561000
2021-12-03,93.2,94.84,92.87,93.23,93.23,3471700
