Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,60.11,60.72,59.79,59.84,59.36,8231800
2021-09-28,59.88,60.23,59.38,59.84,59.36,10812500
2021-09-29,59.9,60.94,59.9,60.62,60.13,9043300
2021-09-30,60.18,60.57,59.15,59.17,59.17,11995500
2021-10-01,59.37,59.76,58.65,59.51,59.51,11188000
2021-10-04,59.4,60.03,58.85,58.93,58.93,12532800
2021-10-05,58.86,59.68,58.83,59.15,59.15,11406200
2021-10-06,59.11,59.23,58.6,59.19,59.19,9283400
2021-10-07,58.75,59.35,58.37,59.01,59.01,13798200
2021-10-08,58.87,58.99,56.81,57.26,57.26,27246400
2021-10-11,57.32,57.77,57.01,57.42,57.42,10741400
2021-10-12,57.52,58.84,56.82,57.06,57.06,11736300
2021-10-13,57.06,57.39,56.66,57.07,57.07,9876200
2021-10-14,57.07,58.17,57.01,57.7,57.7,9027700
2021-10-15,58.11,58.69,57.91,58.36,58.36,9445300
2021-10-18,58.01,58.15,56.92,56.94,56.94,13320600
2021-10-19,57.18,57.64,57.02,57.59,57.59,9390200
2021-10-20,57.91,58.6,57.9,58.07,58.07,9010300
2021-10-21,58.09,58.1,57.37,57.81,57.81,7159000
2021-10-22,57.81,59.0,57.43,57.6,57.6,6882300
2021-10-25,57.72,58.16,57.52,57.81,57.81,9715500
2021-10-26,57.9,58.12,57.62,58.07,58.07,4985809
