Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,65.99,66.3,64.15,64.23,64.23,1341300.0
2022-02-24,62.87,66.4,62.41,66.15,66.15,2108100.0
2022-02-25,66.26,67.75,66.1,67.59,67.59,2262700.0
2022-02-28,66.46,67.86,66.4,67.61,67.61,2465700.0
2022-03-01,67.43,68.0,66.42,66.87,66.87,2225000.0
2022-03-02,67.49,68.16,66.81,67.71,67.71,1426600.0
2022-03-03,68.16,68.87,67.41,68.11,68.11,1349600.0
2022-03-04,67.59,68.51,66.98,68.41,68.41,1073100.0
2022-03-07,67.82,68.01,66.1,66.23,66.23,1548800.0
2022-03-08,66.15,66.33,61.12,61.13,61.13,4909300.0
2022-03-09,62.4,64.23,61.62,63.54,63.54,2700400.0
2022-03-10,62.61,63.91,62.61,63.18,63.18,2235400.0
2022-03-11,63.6,64.19,62.63,62.71,62.71,1404000.0
2022-03-14,63.33,64.16,62.74,63.56,63.56,1117600.0
2022-03-15,64.67,66.06,64.27,65.98,65.98,2258100.0
2022-03-16,66.23,67.54,65.26,66.88,66.88,1883700.0
2022-03-17,66.73,68.17,66.7,68.03,68.03,1815300.0
2022-03-18,68.34,69.81,68.06,69.59,69.59,2980500.0
2022-03-21,69.61,70.23,68.55,69.51,69.51,1937900.0
2022-03-22,69.84,69.88,68.57,69.21,69.21,2652557.0
