Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,44.54,45.01,44.1,44.85,44.85,4638100
2021-09-15,44.88,45.37,44.62,45.01,45.01,5266700
2021-09-16,45.01,45.12,44.64,44.9,44.9,5313500
2021-09-17,44.53,44.71,43.92,44.37,44.37,8419600
2021-09-20,43.8,44.08,43.24,43.64,43.64,7566100
2021-09-21,44.02,44.36,43.34,43.36,43.36,6336200
2021-09-22,43.43,44.94,43.23,44.31,44.31,8946300
2021-09-23,44.51,45.4,44.32,45.0,45.0,8199300
2021-09-24,44.9,45.1,44.39,44.7,44.7,4332900
2021-09-27,44.51,44.81,44.23,44.46,44.46,4844900
2021-09-28,44.22,44.32,43.47,43.67,43.67,4867700
2021-09-29,43.84,44.2,43.72,43.89,43.89,5096900
2021-09-30,43.91,44.28,43.38,43.39,43.39,6738400
2021-10-01,43.49,44.03,43.2,43.8,43.8,4782100
2021-10-04,43.53,43.78,42.01,42.41,42.41,8878100
2021-10-05,42.52,43.23,42.43,42.44,42.44,5396300
2021-10-06,42.18,42.91,41.86,42.86,42.86,5274300
2021-10-07,43.2,44.25,43.2,43.62,43.62,6783000
2021-10-08,43.63,44.02,43.1,43.16,43.16,4163600
2021-10-11,42.98,43.24,42.1,42.14,42.14,3752000
2021-10-12,42.29,42.49,41.95,42.09,42.09,4114700
2021-10-13,42.15,42.33,41.75,41.79,41.79,5622400
2021-10-14,42.06,43.15,42.16,43.08,43.08,2827961
