Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,67.96,68.11,66.8,67.04,67.04,24020500
2021-11-23,67.57,68.37,67.11,68.07,68.07,18142200
2021-11-24,68.0,68.06,67.23,67.28,67.28,14975500
2021-11-26,65.01,65.74,63.81,65.5,65.5,24542000
2021-11-29,65.99,66.29,64.46,65.04,65.04,24340700
2021-11-30,64.32,64.81,63.36,63.7,63.7,35574000
2021-12-01,64.66,65.09,62.5,62.52,62.52,27379200
2021-12-02,63.34,64.27,62.76,63.81,63.81,24890700
2021-12-03,63.74,64.12,62.43,62.76,62.76,25454600
2021-12-06,62.94,63.57,62.14,62.52,62.52,25105500
2021-12-07,62.95,63.35,62.32,62.9,62.9,28301200
2021-12-08,63.02,63.16,62.35,62.46,62.46,20697200
2021-12-09,61.87,62.5,60.85,62.14,62.14,29960500
2021-12-10,61.68,62.26,60.2,60.71,60.71,39714200
2021-12-13,60.49,60.87,59.78,60.18,60.18,20489500
2021-12-14,60.45,61.32,60.38,60.64,60.64,19571100
2021-12-15,60.94,61.01,59.54,60.24,60.24,33861300
2021-12-16,61.1,61.91,60.82,61.07,61.07,25688300
2021-12-17,60.27,60.5,58.96,59.54,59.54,47383500
2021-12-20,58.6,58.73,57.59,58.28,58.28,31619600
2021-12-21,58.74,59.86,58.65,59.38,59.38,23175100
2021-12-22,59.31,59.94,59.1,59.48,59.48,10824865
