Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,35.97,36.03,35.5,35.74,35.74,3308900.0
2022-02-24,35.52,35.71,33.67,34.31,34.31,4102000.0
2022-02-25,34.54,35.56,34.54,35.35,35.35,3752600.0
2022-02-28,35.1,35.19,34.66,34.97,34.97,3742800.0
2022-03-01,34.85,35.11,34.26,34.49,34.49,4409300.0
2022-03-02,34.58,34.92,34.38,34.6,34.6,4353300.0
2022-03-03,34.58,34.92,34.44,34.62,34.62,3998200.0
2022-03-04,34.28,34.63,33.96,34.4,34.4,4043800.0
2022-03-07,34.16,34.48,33.68,33.7,33.7,4734500.0
2022-03-08,33.45,33.53,30.93,30.93,30.93,8230100.0
2022-03-09,31.36,32.25,31.17,31.18,31.18,5442800.0
2022-03-10,31.0,31.07,30.18,30.67,30.67,7632500.0
2022-03-11,30.78,30.88,30.06,30.1,30.1,5523800.0
2022-03-14,30.83,32.05,30.51,31.57,31.57,9878700.0
2022-03-15,31.69,32.24,31.69,31.83,31.83,5912500.0
2022-03-16,31.79,31.99,31.36,31.7,31.7,4762200.0
2022-03-17,31.66,32.06,31.33,32.06,32.06,5731600.0
2022-03-18,31.93,31.95,31.23,31.74,31.74,25074700.0
2022-03-21,31.77,32.1,31.63,31.96,31.96,4873000.0
2022-03-22,32.0,32.44,31.62,32.31,32.31,4318266.0
