Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,62.55,63.67,62.55,62.98,62.98,1546400
2022-04-19,63.1,63.45,62.41,62.72,62.72,1807800
2022-04-20,62.88,64.21,62.88,63.86,63.86,1900000
2022-04-21,64.04,64.53,63.42,63.75,63.75,2738500
2022-04-22,62.93,63.1,61.5,61.57,61.57,2360700
2022-04-25,61.25,61.63,59.82,61.24,61.24,2661200
2022-04-26,60.88,62.06,60.6,60.63,60.63,1950700
2022-04-27,60.63,60.74,59.61,59.83,59.83,2678400
2022-04-28,60.12,60.42,58.97,59.82,59.82,2146700
2022-04-29,59.55,59.55,57.89,58.05,58.05,7224500
2022-05-02,58.78,59.01,57.2,58.08,58.08,3049200
2022-05-03,58.47,59.63,58.47,58.79,58.79,2295800
2022-05-04,59.45,60.92,58.52,60.49,60.49,3889600
2022-05-05,55.04,59.2,54.41,57.87,57.87,6228900
2022-05-06,57.27,58.6,57.08,58.27,58.27,2969700
2022-05-09,57.77,57.89,56.53,56.97,56.97,3340800
2022-05-10,57.18,57.43,55.12,56.05,56.05,3113100
2022-05-11,56.44,57.79,55.84,55.9,55.9,2742400
2022-05-12,55.5,55.52,53.75,54.98,54.98,2749300
2022-05-13,55.22,55.85,54.79,55.61,55.61,2235000
2022-05-16,55.94,56.89,55.67,56.14,56.14,2689909
