Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,41.33,41.78,40.96,41.29,41.14,3323000
2022-04-19,41.45,42.55,41.35,42.5,42.34,4335700
2022-04-20,42.86,43.74,42.86,43.45,43.29,3667400
2022-04-21,43.87,44.68,42.57,42.82,42.66,3841000
2022-04-22,42.46,42.55,41.61,41.67,41.51,4065400
2022-04-25,41.4,42.02,40.78,41.96,41.8,3254000
2022-04-26,41.6,41.78,39.93,40.05,39.9,5155000
2022-04-27,40.09,40.93,40.0,40.26,40.11,4349400
2022-04-28,36.28,39.65,36.23,39.41,39.41,15034800
2022-04-29,39.56,39.59,38.1,38.27,38.27,8408100
2022-05-02,38.54,39.04,37.63,38.6,38.6,7172200
2022-05-03,38.61,38.78,38.04,38.38,38.38,9902700
2022-05-04,38.49,39.58,37.31,39.41,39.41,7947300
2022-05-05,38.96,39.43,37.57,37.96,37.96,5054100
2022-05-06,37.78,38.0,37.07,37.78,37.78,4821000
2022-05-09,37.22,38.79,37.02,38.13,38.13,6091700
2022-05-10,38.61,38.9,37.22,38.09,38.09,5792700
2022-05-11,38.07,38.76,37.53,37.59,37.59,4809700
2022-05-12,37.51,39.14,37.28,39.1,39.1,7032900
2022-05-13,39.59,40.43,39.59,40.19,40.19,5070700
2022-05-16,39.93,40.28,39.27,39.86,39.86,5684813
