Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,228.0,234.38,228.0,229.92,228.82,3644000
2022-04-19,230.25,232.94,227.57,232.16,231.05,2689400
2022-04-20,233.55,236.37,232.58,235.08,233.96,2907700
2022-04-21,237.24,237.9,231.65,232.57,231.46,3571400
2022-04-22,228.4,229.79,215.6,216.3,216.3,5053700
2022-04-25,215.31,217.0,209.57,216.7,216.7,4145500
2022-04-26,216.13,218.2,209.35,210.3,210.3,4176700
2022-04-27,211.11,215.55,207.3,213.96,213.96,3358300
2022-04-28,207.43,212.96,202.0,212.44,212.44,6092800
2022-04-29,212.7,217.21,210.16,210.54,210.54,3403300
2022-05-02,210.0,212.77,207.66,212.07,212.07,2639500
2022-05-03,211.9,215.36,210.79,213.62,213.62,2121100
2022-05-04,214.95,223.29,213.83,222.59,222.59,3023700
2022-05-05,222.4,223.15,213.77,215.93,215.93,3005600
2022-05-06,217.01,217.01,210.35,214.65,214.65,2267200
2022-05-09,212.03,212.05,205.44,206.29,206.29,2929900
2022-05-10,208.24,209.52,201.39,202.99,202.99,3040400
2022-05-11,205.56,209.71,203.59,205.21,205.21,2552400
2022-05-12,203.61,205.34,199.3,203.03,203.03,3282000
2022-05-13,205.15,206.46,202.92,204.33,204.33,2323500
2022-05-16,205.02,209.2,203.7,207.19,207.19,2540976
