Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,204.39,205.27,201.3,201.41,200.65,2225800.0
2022-02-24,196.73,199.88,193.27,199.03,198.28,2431600.0
2022-02-25,200.18,207.49,199.53,207.02,206.23,2083500.0
2022-02-28,200.4,203.96,200.16,203.64,202.87,3069200.0
2022-03-01,202.04,203.39,197.55,199.54,198.78,3018600.0
2022-03-02,200.99,205.66,200.73,204.3,203.53,2084900.0
2022-03-03,204.52,206.89,202.64,206.0,205.22,2200900.0
2022-03-04,202.03,206.24,200.92,205.52,204.74,1962600.0
2022-03-07,203.09,203.47,198.78,198.92,198.17,2093400.0
2022-03-08,200.19,203.51,196.2,197.65,196.9,2071300.0
2022-03-09,202.81,205.47,202.44,203.94,203.17,1479100.0
2022-03-10,201.54,203.89,200.63,201.42,200.66,1902000.0
2022-03-11,202.19,204.88,201.73,201.91,201.14,1424000.0
2022-03-14,205.0,207.71,203.41,204.96,204.18,1317300.0
2022-03-15,207.52,209.19,204.82,207.45,206.66,2468000.0
2022-03-16,208.63,211.17,207.19,210.97,210.17,2064700.0
2022-03-17,209.03,211.1,208.3,211.1,211.1,1645300.0
2022-03-18,211.26,212.18,208.08,211.51,211.51,2354900.0
2022-03-21,212.82,214.21,211.28,212.97,212.97,2251300.0
2022-03-22,215.0,216.73,213.46,213.64,213.64,2475276.0
