Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,25.96,27.39,25.92,26.38,26.38,58020600
2021-09-28,26.44,26.99,26.11,26.17,26.17,34642300
2021-09-29,26.46,26.49,25.48,25.52,25.52,27404000
2021-09-30,25.44,25.51,24.73,25.01,25.01,28650300
2021-10-01,26.07,26.57,25.67,26.09,26.09,36843200
2021-10-04,26.2,26.42,25.24,25.34,25.34,33448100
2021-10-05,25.53,26.01,25.27,25.42,25.42,26161500
2021-10-06,25.02,25.14,24.36,24.9,24.9,36943300
2021-10-07,25.22,25.28,24.4,24.49,24.49,26234900
2021-10-08,24.54,24.7,23.76,23.83,23.83,32008500
2021-10-11,23.71,24.44,23.42,23.88,23.88,26631100
2021-10-12,23.94,24.37,23.81,24.33,24.33,25818400
2021-10-13,24.4,24.4,23.61,23.65,23.65,28606200
2021-10-14,23.94,24.0,23.58,23.73,23.73,19413900
2021-10-15,24.06,24.42,23.63,23.67,23.67,22333300
2021-10-18,23.45,23.6,22.82,23.13,23.13,37062300
2021-10-19,23.06,23.06,22.27,22.34,22.34,50814000
2021-10-20,22.36,22.77,22.14,22.44,22.44,27014600
2021-10-21,22.51,22.9,22.22,22.33,22.33,26812500
2021-10-22,22.2,22.34,21.85,22.29,22.29,29116600
2021-10-25,21.79,22.17,21.72,22.05,22.05,26074200
2021-10-26,22.17,22.47,21.75,21.78,21.78,16042631
