Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,60.35,60.6,58.32,59.58,59.58,1985600
2022-04-19,59.76,61.54,59.35,61.32,61.32,878000
2022-04-20,61.59,62.0,59.45,59.52,59.52,845100
2022-04-21,60.41,61.44,57.91,58.13,58.13,1237100
2022-04-22,58.4,58.87,56.7,56.72,56.72,1772100
2022-04-25,56.53,58.63,56.03,58.6,58.6,1284400
2022-04-26,58.09,58.3,56.16,56.19,56.19,1285800
2022-04-27,56.46,58.3,55.92,56.05,56.05,1894100
2022-04-28,56.83,58.23,55.76,57.97,57.97,1626900
2022-04-29,57.29,58.99,56.03,56.13,56.13,2091700
2022-05-02,55.96,57.67,55.56,57.33,57.33,1403400
2022-05-03,57.21,58.31,56.65,57.16,57.16,1521000
2022-05-04,58.8,61.28,55.22,61.24,61.24,2837400
2022-05-05,59.85,59.85,54.76,56.47,56.47,5187100
2022-05-06,56.06,56.74,52.79,54.89,54.89,2462900
2022-05-09,53.11,54.15,51.85,52.43,52.43,2646400
2022-05-10,53.82,54.97,50.48,52.33,52.33,2218600
2022-05-11,51.8,53.95,50.04,50.23,50.23,2088400
2022-05-12,49.1,52.3,48.93,51.93,51.93,2382000
2022-05-13,53.02,57.12,53.02,56.4,56.4,2398100
2022-05-16,55.46,56.42,54.54,54.84,54.84,2416587
