Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,93.3,93.36,93.15,93.31,93.31,1630700
2022-04-19,93.31,93.48,93.25,93.46,93.46,1403600
2022-04-20,93.35,93.59,93.31,93.42,93.42,2014000
2022-04-21,93.43,93.54,93.34,93.34,93.34,1262100
2022-04-22,93.36,93.98,93.26,93.7,93.7,4142500
2022-04-25,93.67,93.87,93.66,93.81,93.81,2459900
2022-04-26,93.72,93.86,93.58,93.61,93.61,3060200
2022-04-27,93.52,93.86,93.52,93.8,93.8,4342200
2022-04-28,93.73,93.88,93.71,93.79,93.79,1638500
2022-04-29,93.75,93.86,93.6,93.64,93.64,2977800
2022-05-02,93.65,93.85,93.56,93.82,93.82,2659800
2022-05-03,93.7,94.19,93.7,94.14,94.14,3497400
2022-05-04,93.9,94.46,93.9,94.37,94.37,4230800
2022-05-05,94.24,94.38,93.96,94.12,94.12,4779200
2022-05-06,94.12,94.25,93.91,94.0,94.0,4281400
2022-05-09,93.9,93.95,93.59,93.67,93.67,3792000
2022-05-10,93.73,94.16,93.73,94.14,94.14,3611100
2022-05-11,93.82,94.2,93.8,93.99,93.99,2829300
2022-05-12,93.98,94.22,93.79,94.2,94.2,2738300
2022-05-13,94.1,94.24,93.9,94.21,94.21,2547100
2022-05-16,94.12,94.43,94.07,94.11,94.11,3219039
