Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,58.78,60.83,57.98,58.5,58.22,2958600
2021-11-05,58.4,59.8,58.38,59.2,58.92,2415000
2021-11-08,60.11,63.35,59.9,62.54,62.25,3991100
2021-11-09,62.4,63.42,61.34,63.22,62.92,2239700
2021-11-10,62.82,64.67,62.25,62.97,62.67,3615600
2021-11-11,63.5,64.16,63.38,63.8,63.5,2068700
2021-11-12,63.47,65.53,63.4,64.57,64.57,2275900
2021-11-15,64.58,65.58,63.47,65.55,65.55,2744000
2021-11-16,65.38,65.83,64.11,65.48,65.48,3412900
2021-11-17,65.62,66.72,65.11,65.28,65.28,3280800
2021-11-18,65.91,68.09,65.41,67.57,67.57,5345600
2021-11-19,66.45,66.5,65.06,65.19,65.19,2867600
2021-11-22,65.7,66.08,64.9,65.01,65.01,2349300
2021-11-23,65.27,66.26,64.09,65.24,65.24,2368800
2021-11-24,64.63,65.74,64.48,65.14,65.14,1138800
2021-11-26,63.01,63.6,62.03,62.8,62.8,1396100
2021-11-29,64.3,64.82,62.21,62.96,62.96,2443900
2021-11-30,62.31,63.39,60.32,60.59,60.59,3416800
2021-12-01,62.17,62.6,57.25,57.29,57.29,3835100
2021-12-02,57.7,59.7,57.7,59.3,59.3,2226900
2021-12-03,59.77,60.68,58.51,59.21,59.21,3344300
