Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,50.53,50.93,49.84,50.27,50.27,4113700
2021-11-23,50.64,50.93,50.31,50.84,50.84,3525900
2021-11-24,50.89,51.54,50.6,51.04,51.04,3815900
2021-11-26,48.81,48.92,47.51,48.56,48.56,3456600
2021-11-29,49.26,49.71,48.28,48.78,48.78,4300800
2021-11-30,47.9,48.23,47.06,47.27,47.27,8891200
2021-12-01,48.53,49.07,46.51,46.52,46.52,5437100
2021-12-02,47.08,48.34,46.61,48.07,48.07,4403500
2021-12-03,47.97,48.19,46.02,46.35,46.35,5025300
2021-12-06,47.33,48.19,46.91,47.56,47.56,5457600
2021-12-07,47.85,48.87,47.7,48.33,48.33,4564900
2021-12-08,48.29,48.55,47.53,47.6,47.6,4430700
2021-12-09,47.23,47.76,47.01,47.37,47.37,2973200
2021-12-10,47.71,47.94,46.68,47.4,47.4,2876100
2021-12-13,47.18,47.23,46.12,46.29,46.29,3229300
2021-12-14,46.71,47.67,46.45,47.08,47.08,4937500
2021-12-15,47.28,47.49,46.49,47.15,47.15,3983600
2021-12-16,47.8,48.27,46.9,47.12,47.12,4421600
2021-12-17,46.96,47.08,45.42,45.46,45.46,7545400
2021-12-20,44.68,44.68,43.56,44.49,44.49,4842700
2021-12-21,45.12,45.95,45.05,45.83,45.83,3757600
2021-12-22,45.61,46.34,45.42,46.13,46.13,2589679
