Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,225.23,226.76,210.64,213.16,213.16,3722300
2021-11-05,214.66,222.82,213.69,214.12,214.12,2521800
2021-11-08,215.0,219.63,213.74,218.16,218.16,1976500
2021-11-09,217.5,218.92,216.08,216.2,216.2,1971000
2021-11-10,216.59,220.9,216.48,217.84,217.84,2420700
2021-11-11,217.45,219.69,216.98,217.7,217.7,1134100
2021-11-12,218.44,219.83,217.38,217.73,217.73,1459200
2021-11-15,217.98,218.42,215.14,215.53,215.53,1551100
2021-11-16,216.15,221.77,215.54,217.76,217.76,1701400
2021-11-17,219.0,220.72,216.91,216.98,216.98,1452600
2021-11-18,217.18,220.25,216.62,218.75,218.75,1918900
2021-11-19,218.4,218.4,208.89,210.51,210.51,2981400
2021-11-22,211.07,214.95,210.83,211.55,211.55,2005700
2021-11-23,211.53,214.11,211.22,213.24,213.24,2441900
2021-11-24,212.37,214.78,209.18,210.58,210.58,1738700
2021-11-26,208.01,208.35,200.68,202.03,202.03,1899300
2021-11-29,203.13,204.9,198.91,199.61,199.61,3474800
2021-11-30,198.0,198.72,191.74,191.9,191.9,3545600
2021-12-01,195.46,201.48,192.36,194.72,194.72,2785600
2021-12-02,194.69,199.04,193.63,197.79,197.79,2226600
2021-12-03,198.79,201.7,198.08,199.86,199.86,2363900
