Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,76.89,77.53,76.87,77.29,77.29,3407000
2021-11-05,77.55,77.95,77.08,77.84,77.84,3560300
2021-11-08,77.85,77.95,77.01,77.74,77.74,3335900
2021-11-09,77.87,78.18,77.49,78.05,78.05,3854900
2021-11-10,77.94,78.53,77.59,78.48,78.48,3263500
2021-11-11,78.39,78.43,77.84,77.99,77.99,2788500
2021-11-12,77.92,78.46,77.66,78.03,78.03,3057200
2021-11-15,78.25,78.35,77.88,78.3,78.3,3263900
2021-11-16,78.5,78.78,77.84,77.88,77.88,3140500
2021-11-17,77.77,77.78,77.17,77.58,77.58,3144600
2021-11-18,77.49,77.55,76.17,76.39,76.39,3416600
2021-11-19,76.47,77.66,76.47,77.2,77.2,3978200
2021-11-22,77.41,78.31,77.3,77.56,77.56,3601000
2021-11-23,77.69,78.18,77.24,77.93,77.93,2941800
2021-11-24,78.07,78.16,77.37,77.76,77.76,2350400
2021-11-26,77.78,78.6,76.96,77.06,77.06,2439900
2021-11-29,77.08,78.08,76.94,77.71,77.71,3923000
2021-11-30,77.14,77.4,75.01,75.02,75.02,8702400
2021-12-01,75.5,76.53,75.32,75.39,75.39,3716700
2021-12-02,75.72,76.27,75.37,75.48,75.48,4665300
2021-12-03,76.02,76.78,75.44,76.77,76.77,5206200
