Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,46.82,47.0,44.8,45.13,45.13,36279100.0
2022-02-24,44.47,46.06,44.27,46.01,46.01,29784000.0
2022-02-25,46.19,47.46,46.0,47.07,47.07,30441900.0
2022-02-28,46.46,47.13,46.1,46.76,46.76,29820800.0
2022-03-01,46.14,46.95,45.81,46.39,46.39,21843400.0
2022-03-02,46.74,47.1,46.25,46.38,46.38,25978700.0
2022-03-03,46.87,47.64,46.7,47.12,47.12,23131600.0
2022-03-04,46.9,47.4,46.4,47.21,47.21,21368700.0
2022-03-07,47.0,47.41,45.9,46.3,46.3,30718700.0
2022-03-08,46.34,47.3,46.08,46.13,46.13,24592700.0
2022-03-09,46.78,47.14,45.98,46.12,46.12,20113700.0
2022-03-10,45.59,45.83,44.95,45.39,45.39,18179500.0
2022-03-11,45.96,46.25,44.95,45.02,45.02,19584300.0
2022-03-14,45.36,45.76,44.84,44.97,44.97,17564200.0
2022-03-15,45.56,45.75,45.11,45.54,45.54,22824200.0
2022-03-16,45.62,46.34,45.02,46.23,46.23,20107700.0
2022-03-17,46.23,46.5,45.45,46.48,46.48,16955600.0
2022-03-18,46.31,46.97,45.94,46.91,46.91,35115800.0
2022-03-21,46.89,47.13,46.19,46.67,46.67,17884700.0
2022-03-22,47.14,47.5,46.97,47.22,47.22,15409604.0
