Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,74.38,74.84,73.41,73.77,73.77,5101900
2021-11-05,73.81,74.92,73.51,74.17,74.17,2719500
2021-11-08,74.14,74.25,73.42,74.08,74.08,1817300
2021-11-09,73.97,74.83,73.5,74.77,74.77,2596500
2021-11-10,74.79,75.83,74.32,75.06,75.06,4150900
2021-11-11,74.94,75.59,74.5,75.29,75.29,1989000
2021-11-12,75.75,76.17,74.91,75.86,75.86,2352800
2021-11-15,75.68,76.05,74.8,75.1,75.1,2613800
2021-11-16,75.17,75.64,74.2,74.98,74.98,3481500
2021-11-17,75.15,76.82,74.98,76.18,76.18,6264200
2021-11-18,76.4,77.65,75.07,75.37,75.37,7428400
2021-11-19,75.31,75.31,72.63,73.01,73.01,3801900
2021-11-22,72.99,74.48,72.42,74.08,74.08,2459700
2021-11-23,74.27,76.26,74.25,76.03,76.03,3050600
2021-11-24,75.76,76.15,75.43,75.61,75.61,3072600
2021-11-26,74.56,74.86,72.84,73.9,73.9,1992100
2021-11-29,73.83,74.26,73.22,73.77,73.77,3133000
2021-11-30,73.36,73.5,71.01,71.41,71.41,4527100
2021-12-01,72.3,73.07,70.09,70.18,70.18,3372400
2021-12-02,70.41,71.71,69.51,71.42,71.42,3798200
2021-12-03,71.71,72.55,70.31,71.05,71.05,3440200
