Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,27.34,27.46,26.48,26.49,26.49,4061100.0
2022-02-24,26.23,26.66,26.0,26.55,26.55,6657000.0
2022-02-25,26.86,27.47,26.75,27.38,27.38,5303300.0
2022-02-28,27.1,27.58,27.08,27.35,27.35,6521300.0
2022-03-01,27.29,27.52,26.65,26.88,26.88,5494400.0
2022-03-02,26.98,27.84,26.88,27.72,27.72,4961200.0
2022-03-03,27.81,28.36,27.79,28.24,28.24,4753400.0
2022-03-04,28.11,29.0,28.05,28.99,28.99,5433500.0
2022-03-07,28.91,29.05,28.4,28.73,28.73,5326400.0
2022-03-08,28.91,29.0,28.5,28.54,28.54,4404800.0
2022-03-09,28.8,28.9,28.34,28.38,28.38,3795400.0
2022-03-10,28.33,28.73,28.22,28.7,28.7,3712100.0
2022-03-11,28.67,28.93,28.43,28.45,28.45,2567800.0
2022-03-14,28.65,28.88,28.26,28.41,28.41,3480800.0
2022-03-15,28.76,28.95,28.57,28.88,28.88,5337400.0
2022-03-16,28.88,28.99,28.36,28.87,28.87,5853200.0
2022-03-17,28.91,29.26,28.72,29.08,29.08,4502100.0
2022-03-18,29.1,29.31,28.84,29.05,29.05,10383300.0
2022-03-21,29.23,29.61,29.15,29.47,29.47,3829600.0
2022-03-22,29.49,29.62,29.35,29.47,29.47,5291083.0
