Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,132.23,139.13,132.0,137.98,137.25,2731300
2022-04-19,138.09,142.35,138.09,141.59,140.85,3119200
2022-04-20,142.73,144.24,141.05,141.85,141.1,2035700
2022-04-21,143.13,144.73,139.63,139.98,139.24,1925300
2022-04-22,139.22,139.5,135.07,135.28,134.57,2458600
2022-04-25,133.92,136.85,131.25,136.46,135.74,2573800
2022-04-26,133.63,136.29,132.14,132.23,131.53,2764100
2022-04-27,120.98,126.56,119.88,124.35,123.7,5465100
2022-04-28,125.77,130.51,125.13,129.38,128.7,3265200
2022-04-29,128.85,131.0,124.36,124.62,123.96,2806300
2022-05-02,125.54,126.85,123.75,126.64,125.97,2266200
2022-05-03,127.51,130.29,126.27,128.65,127.97,2096000
2022-05-04,128.72,134.46,128.22,134.3,133.59,2266500
2022-05-05,132.0,133.41,129.02,130.33,129.64,2605000
2022-05-06,129.85,130.29,125.69,127.04,126.37,2434200
2022-05-09,124.78,126.46,122.32,123.22,122.57,2852100
2022-05-10,123.87,124.99,117.49,121.03,120.39,2981800
2022-05-11,121.26,124.59,119.4,119.59,118.96,2785600
2022-05-12,116.0,117.88,111.58,114.15,113.55,3952000
2022-05-13,115.67,118.37,115.26,116.46,116.46,3067700
2022-05-16,115.83,116.83,112.83,113.97,113.97,2427539
