Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,88.0,89.48,87.35,88.23,88.23,7355000.0
2022-02-24,90.0,90.25,85.29,87.73,87.73,11509300.0
2022-02-25,88.38,91.52,87.82,91.27,91.27,10563000.0
2022-02-28,90.67,95.07,89.85,94.86,94.86,15093600.0
2022-03-01,95.85,98.46,94.8,96.96,96.96,14453500.0
2022-03-02,98.37,99.97,97.19,98.04,98.04,16168000.0
2022-03-03,97.2,98.19,95.63,97.41,97.41,8704900.0
2022-03-04,97.61,100.34,97.44,100.27,100.27,10977300.0
2022-03-07,101.49,103.77,99.12,101.27,101.27,13788800.0
2022-03-08,101.51,104.44,95.86,98.8,98.8,17231400.0
2022-03-09,95.36,98.72,92.76,96.21,96.21,12656200.0
2022-03-10,97.28,99.83,96.44,99.72,99.72,9481000.0
2022-03-11,98.83,101.06,98.16,98.41,98.41,7664300.0
2022-03-14,97.38,97.55,94.21,96.55,96.55,10532200.0
2022-03-15,92.86,95.82,92.32,95.05,95.05,8863600.0
2022-03-16,95.2,95.76,94.1,94.82,94.82,9314200.0
2022-03-17,96.65,99.07,96.51,98.83,98.83,8868300.0
2022-03-18,99.11,100.15,98.47,99.6,99.6,16145400.0
2022-03-21,101.17,103.97,100.87,102.76,102.76,8107400.0
2022-03-22,102.67,102.87,100.32,101.77,101.77,6299107.0
