Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,507.01,520.21,506.01,515.62,515.62,2615000
2021-11-05,514.77,517.9,508.63,513.12,513.12,2071300
2021-11-08,513.41,513.41,500.2,503.81,503.81,2834800
2021-11-09,505.12,509.1,504.06,508.71,508.71,1881800
2021-11-10,508.26,510.36,503.77,505.51,505.51,1226600
2021-11-11,506.2,512.5,504.04,512.18,512.18,1227300
2021-11-12,514.25,519.66,513.23,517.17,517.17,1779500
2021-11-15,518.49,523.1,518.01,519.89,519.89,1392300
2021-11-16,519.84,528.3,517.41,526.72,526.72,1690700
2021-11-17,527.5,530.74,524.51,526.29,526.29,1609400
2021-11-18,528.16,530.8,522.49,529.37,529.37,1664200
2021-11-19,534.08,535.28,528.01,533.79,533.79,1909800
2021-11-22,533.32,545.42,532.32,539.65,539.65,2190500
2021-11-23,537.96,545.82,533.77,545.26,545.26,2147000
2021-11-24,545.54,550.83,543.32,549.73,549.73,2316400
2021-11-26,549.55,554.55,544.31,546.13,546.13,1844800
2021-11-29,546.13,560.78,542.41,554.88,554.88,2919100
2021-11-30,551.0,557.17,535.89,539.38,539.38,4244200
2021-12-01,543.1,548.25,529.4,529.84,529.84,2877100
2021-12-02,518.51,530.91,514.04,525.51,525.51,3277500
2021-12-03,529.99,537.5,524.77,528.93,528.93,2982300
