Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,45.73,46.09,45.57,45.77,45.77,1428900
2022-04-12,45.61,46.08,45.35,45.71,45.71,1536900
2022-04-13,45.59,45.84,45.33,45.81,45.81,1451900
2022-04-14,46.0,46.43,45.87,46.2,46.2,1424400
2022-04-18,46.2,46.29,45.29,45.47,45.47,1118300
2022-04-19,45.53,46.34,45.53,46.2,46.2,1458800
2022-04-20,46.24,47.25,46.24,47.14,47.14,1427700
2022-04-21,47.14,47.8,47.0,47.48,47.48,1774900
2022-04-22,47.57,47.79,46.92,46.94,46.94,1964200
2022-04-25,47.08,47.34,45.94,46.83,46.83,2012300
2022-04-26,46.81,47.2,46.33,46.36,46.36,1892700
2022-04-27,46.6,47.3,46.44,47.04,47.04,2526900
2022-04-28,47.3,48.29,46.99,48.27,48.27,2802300
2022-04-29,48.04,48.32,47.15,47.22,47.22,2354700
2022-05-02,47.59,47.94,45.73,46.9,46.9,2969300
2022-05-03,46.99,47.67,46.8,47.12,47.12,2125700
2022-05-04,47.13,48.05,47.0,48.0,48.0,1837400
2022-05-05,47.8,48.88,47.8,48.62,48.62,3219400
2022-05-06,48.57,49.85,48.51,49.67,49.67,3046800
2022-05-09,49.51,51.87,49.35,51.39,51.39,3234122
