Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,194.21,197.1,192.16,195.45,195.45,5173800
2022-04-12,199.75,201.12,194.58,194.81,194.81,4832200
2022-04-13,191.99,197.1,189.32,195.72,195.72,8733000
2022-04-14,196.32,196.45,189.22,189.41,189.41,5126700
2022-04-18,188.3,189.35,185.53,187.01,187.01,4899500
2022-04-19,187.24,192.2,185.52,191.39,191.39,6120400
2022-04-20,192.89,193.3,186.08,186.23,186.23,6015400
2022-04-21,188.78,190.17,176.74,177.23,177.23,9119500
2022-04-22,177.7,179.05,171.1,171.43,171.43,8843900
2022-04-25,169.69,174.76,169.23,174.57,174.57,7988900
2022-04-26,172.62,173.72,167.55,170.08,170.08,8073300
2022-04-27,171.0,177.23,170.63,174.68,174.68,9644600
2022-04-28,181.41,186.93,178.98,185.74,185.74,10614800
2022-04-29,182.57,185.36,175.3,175.94,175.94,7107900
2022-05-02,175.09,177.78,173.12,177.57,177.57,6278400
2022-05-03,176.95,180.39,176.13,178.36,178.36,5047700
2022-05-04,179.71,185.98,174.74,185.48,185.48,7563100
2022-05-05,180.49,182.24,169.82,172.3,172.3,8379400
2022-05-06,169.49,172.43,165.58,169.7,169.7,7230600
2022-05-09,166.72,170.26,163.8,167.51,167.51,4215487
