Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,34.12,34.84,34.04,34.24,34.24,11151400
2022-04-12,34.37,34.89,34.19,34.41,34.41,13771900
2022-04-13,34.43,35.0,34.43,34.89,34.89,8527000
2022-04-14,34.9,35.19,34.86,35.06,35.06,12727100
2022-04-18,34.7,35.19,34.59,34.75,34.75,10228000
2022-04-19,34.83,35.32,34.73,35.29,35.29,12754100
2022-04-20,35.49,35.82,35.2,35.3,35.3,13958100
2022-04-21,37.4,38.17,36.0,36.3,36.3,17399000
2022-04-22,36.05,36.27,34.5,34.52,34.52,21027800
2022-04-25,34.52,34.7,33.82,34.64,34.64,11718200
2022-04-26,34.68,34.7,34.09,34.11,34.11,10713400
2022-04-27,34.21,34.92,34.11,34.48,34.48,13241600
2022-04-28,34.52,35.36,34.41,35.21,35.21,12859500
2022-04-29,35.05,35.22,34.17,34.34,34.34,16045900
2022-05-02,34.44,34.64,33.65,34.29,34.29,13671200
2022-05-03,34.35,34.83,34.1,34.53,34.53,12127100
2022-05-04,34.58,35.55,34.4,35.5,35.5,14403200
2022-05-05,35.09,35.31,34.32,34.65,34.65,14006900
2022-05-06,34.74,35.03,33.69,34.78,34.78,23166700
2022-05-09,34.48,34.55,34.01,34.12,34.12,5411599
