Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,30.0,31.42,29.74,30.77,30.15,9781500
2022-04-19,30.59,30.83,29.81,30.47,29.85,10060000
2022-04-20,30.64,31.02,30.2,30.93,30.3,5674900
2022-04-21,31.23,31.38,29.8,29.97,29.36,7591700
2022-04-22,29.58,29.97,28.59,28.96,28.37,10122500
2022-04-25,28.08,28.83,26.91,28.66,28.08,13569500
2022-04-26,29.09,29.95,28.53,28.55,27.97,8611800
2022-04-27,28.67,29.28,27.93,28.85,28.26,6862200
2022-04-28,28.95,29.39,28.06,29.15,28.56,7221900
2022-04-29,29.34,29.69,28.67,28.79,28.21,7188900
2022-05-02,28.44,29.03,28.16,28.92,28.33,9932300
2022-05-03,30.49,31.76,29.75,31.66,31.02,14685300
2022-05-04,32.38,32.8,30.94,32.77,32.11,11865400
2022-05-05,32.98,33.0,30.93,31.87,31.22,8602700
2022-05-06,32.85,32.9,31.63,32.55,31.89,10584700
2022-05-09,31.63,31.78,29.0,29.32,28.73,10663700
2022-05-10,30.28,30.48,28.9,29.62,29.02,10196700
2022-05-11,30.15,31.05,29.54,29.58,28.98,11052100
2022-05-12,28.81,29.26,28.18,29.07,29.07,8705500
2022-05-13,29.67,30.35,29.49,29.78,29.78,7619100
2022-05-16,29.9,30.93,29.87,30.56,30.56,7930667
