Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,84.55,85.42,84.07,84.61,84.61,1570900
2022-04-19,84.33,85.95,84.33,85.74,85.74,1790100
2022-04-20,86.54,87.27,86.03,86.21,86.21,2638300
2022-04-21,86.82,88.79,86.13,86.42,86.42,2291600
2022-04-22,86.31,86.35,82.93,83.16,83.16,3160400
2022-04-25,83.16,84.52,82.52,84.46,84.46,3720600
2022-04-26,83.81,84.16,81.97,82.27,82.27,3345400
2022-04-27,82.25,84.45,82.25,82.84,82.84,3258600
2022-04-28,83.7,84.43,82.78,83.97,83.97,3233600
2022-04-29,83.77,84.0,80.87,80.9,80.9,4298700
2022-05-02,80.95,81.86,79.46,80.67,80.67,4755200
2022-05-03,80.99,81.91,80.79,81.55,81.55,3675400
2022-05-04,81.85,84.41,80.22,84.36,84.36,4087400
2022-05-05,78.75,80.07,72.49,73.6,73.6,5034000
2022-05-06,73.03,75.67,72.6,75.52,75.52,3904700
2022-05-09,74.76,77.49,74.26,76.27,76.27,4522700
2022-05-10,77.24,77.61,73.92,74.44,74.44,3435000
2022-05-11,74.58,74.67,72.11,72.38,72.38,3219700
2022-05-12,71.82,73.86,71.76,73.54,73.54,3465200
2022-05-13,73.89,74.73,72.98,73.38,73.38,3455000
2022-05-16,73.47,73.58,72.39,72.58,72.58,4429976
