Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,96.28,96.3,94.04,94.49,94.49,7417800
2021-11-05,94.68,95.88,93.0,93.78,93.78,7436300
2021-11-08,94.0,94.59,93.42,93.76,93.76,3982100
2021-11-09,93.88,93.97,92.56,92.76,92.76,4446700
2021-11-10,93.29,94.4,92.42,92.96,92.96,4966600
2021-11-11,92.68,94.53,92.54,94.21,94.21,4273000
2021-11-12,94.58,95.34,93.35,94.02,94.02,3792500
2021-11-15,94.11,94.3,93.43,93.49,93.49,3602100
2021-11-16,93.93,94.17,92.82,92.89,92.89,4038600
2021-11-17,92.63,93.06,92.08,92.73,92.73,3878200
2021-11-18,93.06,95.68,92.74,95.34,95.34,8619700
2021-11-19,95.06,95.06,92.32,93.16,93.16,6446000
2021-11-22,93.1,94.46,92.95,92.99,92.99,4334600
2021-11-23,93.11,94.45,92.2,93.64,93.64,6625500
2021-11-24,93.27,93.84,92.22,92.65,92.65,6109400
2021-11-26,91.47,92.25,90.9,91.52,91.52,4241000
2021-11-29,91.99,92.72,91.09,92.02,92.02,5215600
2021-11-30,91.27,91.66,88.91,89.06,89.06,9051700
2021-12-01,90.18,91.06,88.77,88.78,88.78,6223500
2021-12-02,89.13,91.18,88.81,89.99,89.99,5992700
2021-12-03,90.64,91.59,90.11,90.87,90.87,5660200
