Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,173.0,174.54,171.87,173.89,173.89,7639000
2022-04-19,173.08,173.69,171.03,171.83,171.83,6970200
2022-04-20,171.62,173.58,171.46,172.53,172.53,7495000
2022-04-21,171.74,172.44,163.83,164.58,164.58,14594800
2022-04-22,164.38,165.47,160.86,160.95,160.95,12160100
2022-04-25,155.73,158.36,151.36,157.49,157.49,15449800
2022-04-26,158.82,160.37,156.39,156.53,156.53,9810600
2022-04-27,157.08,157.92,154.52,156.24,156.24,10396600
2022-04-28,157.45,163.0,154.93,161.79,161.79,9366400
2022-04-29,161.28,162.44,156.29,156.67,156.67,14709500
2022-05-02,156.31,160.0,155.15,159.75,159.75,11559000
2022-05-03,159.57,163.43,159.26,162.49,162.49,8827200
2022-05-04,164.97,167.89,163.47,167.59,167.59,9183200
2022-05-05,169.26,169.5,162.65,166.26,166.26,9807600
2022-05-06,168.27,170.97,165.42,170.69,170.69,10407000
2022-05-09,167.75,167.75,158.48,159.25,159.25,14110700
2022-05-10,162.21,164.19,157.87,160.78,160.78,11636000
2022-05-11,163.58,167.46,162.51,163.16,163.16,9105500
2022-05-12,163.22,164.85,158.86,164.71,164.71,8936400
2022-05-13,166.5,168.79,164.88,167.87,167.87,9223600
2022-05-16,169.0,174.97,168.67,173.01,173.01,13276523
