Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,68.16,69.32,67.84,68.37,68.37,2117200
2022-04-19,68.39,73.35,68.23,71.75,71.75,2767100
2022-04-20,72.0,73.49,71.41,71.7,71.7,2107000
2022-04-21,73.43,73.95,67.91,68.11,68.11,3624400
2022-04-22,67.75,69.0,65.11,66.6,66.6,2459800
2022-04-25,65.65,68.59,64.6,68.5,68.5,2495500
2022-04-26,67.43,68.32,63.52,64.83,64.83,2822400
2022-04-27,64.61,65.91,62.28,64.15,64.15,2664500
2022-04-28,64.47,68.02,63.78,67.39,67.39,3220000
2022-04-29,67.35,70.23,66.1,66.28,66.28,2436900
2022-05-02,66.26,68.42,65.17,68.35,68.35,2794000
2022-05-03,68.64,69.93,66.0,67.65,67.65,3712300
2022-05-04,69.4,69.46,61.49,66.39,66.39,7895400
2022-05-05,65.78,67.16,61.96,62.95,62.95,3371600
2022-05-06,62.3,62.37,59.3,59.95,59.95,3432500
2022-05-09,58.5,59.08,52.58,52.95,52.95,5236800
2022-05-10,54.01,55.11,49.15,50.77,50.77,5320100
2022-05-11,51.36,53.48,48.3,48.36,48.36,4858800
2022-05-12,47.9,51.38,46.08,49.83,49.83,5346100
2022-05-13,51.22,55.32,51.21,54.99,54.99,5456800
2022-05-16,54.14,55.41,51.88,51.99,51.99,3289093
