Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,75.37,75.83,74.58,75.44,74.77,3459300
2021-11-05,75.89,76.67,75.5,76.53,75.85,2588500
2021-11-08,76.39,76.43,73.38,74.58,73.92,4094100
2021-11-09,74.39,75.27,74.14,74.58,73.92,3425500
2021-11-10,74.93,75.72,74.85,75.68,75.01,2825400
2021-11-11,75.45,75.64,74.79,75.07,74.4,2780300
2021-11-12,75.24,75.38,74.71,74.74,74.08,3213700
2021-11-15,74.95,75.9,74.55,75.88,75.21,3156100
2021-11-16,75.95,76.32,75.3,75.41,74.74,3825000
2021-11-17,75.12,75.51,74.54,75.35,74.68,3046300
2021-11-18,75.39,75.69,74.91,75.19,74.52,3325500
2021-11-19,75.41,75.41,74.14,74.19,73.53,5532000
2021-11-22,73.98,74.42,73.45,74.04,73.38,4119100
2021-11-23,74.19,75.3,73.86,74.82,74.15,2482100
2021-11-24,74.86,75.07,74.3,74.9,74.23,2374700
2021-11-26,74.59,74.93,73.55,73.67,73.01,2021100
2021-11-29,74.27,74.71,73.55,74.42,73.76,4182700
2021-11-30,74.0,74.0,71.15,71.2,70.57,6593600
2021-12-01,71.57,72.83,70.82,70.85,70.22,4009800
2021-12-02,70.37,72.5,70.37,71.84,71.84,4081000
2021-12-03,72.18,73.1,71.26,73.04,73.04,3672800
