Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,80.21,80.21,78.68,79.51,79.2,3822100
2021-11-05,79.6,80.93,79.37,80.4,80.09,3129900
2021-11-08,81.12,81.48,79.05,79.52,79.21,3872600
2021-11-09,79.24,81.27,78.91,81.02,80.7,3837500
2021-11-10,80.98,81.47,79.9,79.97,79.66,2507500
2021-11-11,80.16,81.06,79.86,80.98,80.66,2709500
2021-11-12,81.0,81.25,80.32,80.72,80.41,2611200
2021-11-15,80.67,80.75,78.45,78.77,78.46,2464500
2021-11-16,78.79,79.33,77.27,77.59,77.29,5478800
2021-11-17,77.18,79.68,77.18,79.29,78.98,3176400
2021-11-18,79.59,80.0,78.75,79.52,79.21,2896900
2021-11-19,79.34,81.07,79.07,80.02,79.71,3449500
2021-11-22,80.0,80.87,79.15,79.22,78.91,1876700
2021-11-23,79.28,79.83,79.12,79.51,79.2,1684200
2021-11-24,79.07,79.43,78.68,78.7,78.39,1300000
2021-11-26,76.65,77.39,75.79,76.96,76.66,2129600
2021-11-29,77.32,77.78,75.97,77.04,77.04,2886900
2021-11-30,75.9,76.24,73.02,73.96,73.96,6205300
2021-12-01,75.09,77.07,73.79,73.79,73.79,2934300
2021-12-02,74.18,76.2,74.06,75.28,75.28,2275400
2021-12-03,75.38,76.64,74.83,75.48,75.48,3776500
